--- Log started at Sun Jun 24 21:35:17 2012

000000.000|   13388.0000kb|  13388.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.356|  195548.0000kb| 182160.0000kb added| ALWAYS| Global Log Level set to WARN
000000.356|  195548.0000kb|      0.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.438|  198348.0000kb|   2800.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe 216.133.234.133 5192 ttZvfIhTuDEcim5H82XOKw== 19087802 
000000.439|  198392.0000kb|     44.0000kb added| ALWAYS| Started System Init
000000.440|  199240.0000kb|    848.0000kb added| ALWAYS| Maestro Init
000000.613|  200252.0000kb|   1012.0000kb added| ALWAYS| Maestro completed init
000000.626|  201184.0000kb|    932.0000kb added| ALWAYS| StartSession called
000000.626|  201188.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.626|  201220.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.626|  201220.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.653|  201832.0000kb|    612.0000kb added| ALWAYS| r3dRenderLayer::Init(0x000703d0) enter
000000.671|  211228.0000kb|   9396.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.682|  211872.0000kb|    644.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.453|  228856.0000kb|  16984.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.453|  228856.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.453|  228856.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
