--- Log started at Sun Jun 24 23:38:03 2012

000000.000|   13328.0000kb|  13328.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.366|  195376.0000kb| 182048.0000kb added| ALWAYS| Global Log Level set to WARN
000000.366|  195392.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.451|  198640.0000kb|   3248.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe 216.133.234.33 5156 dfvOe88BcKpuxVVINY0CRg== 19087802 
000000.452|  198668.0000kb|     28.0000kb added| ALWAYS| Started System Init
000000.453|  199260.0000kb|    592.0000kb added| ALWAYS| Maestro Init
000000.637|  199772.0000kb|    512.0000kb added| ALWAYS| Maestro completed init
000000.651|  200708.0000kb|    936.0000kb added| ALWAYS| StartSession called
000000.651|  200712.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.652|  200744.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.652|  200744.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.686|  201368.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00020896) enter
000000.713|  210884.0000kb|   9516.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.731|  211532.0000kb|    648.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.585|  228512.0000kb|  16980.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.585|  228512.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.585|  228512.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.585|  228512.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.585|  228516.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.863|  230932.0000kb|   2416.0000kb added| ALWAYS| Physical memory: 8589934592
000001.863|  230932.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.863|  230932.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.863|  230932.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.863|  230936.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.863|  230936.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.863|  230936.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.917|  230864.0000kb|    -72.0000kb added| ALWAYS| Connected
000001.917|  230892.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019891a98
000001.917|  230892.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.917|  230892.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.917|  230892.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.917|  230892.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.918|  230892.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.918|  230892.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.918|  230892.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.918|  230892.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.918|  230892.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.918|  230904.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.154\deploy\preferences\
000001.918|  230912.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.918|  230912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.918|  230912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.918|  230912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
