--- Log started at Mon Jun 25 14:18:09 2012

000000.000|   13080.0000kb|  13080.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.356|  195292.0000kb| 182212.0000kb added| ALWAYS| Global Log Level set to WARN
000000.356|  195316.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.442|  198864.0000kb|   3548.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe 64.7.194.162 5122 7qtmf+8iR/4gCokRftQ62g== 19087802 
000000.443|  198892.0000kb|     28.0000kb added| ALWAYS| Started System Init
000000.444|  199400.0000kb|    508.0000kb added| ALWAYS| Maestro Init
000000.708|  199988.0000kb|    588.0000kb added| ALWAYS| Maestro completed init
000000.719|  200932.0000kb|    944.0000kb added| ALWAYS| StartSession called
000000.719|  200936.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.720|  200968.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.720|  200968.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.746|  201580.0000kb|    612.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001d0982) enter
000000.767|  210852.0000kb|   9272.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.780|  211496.0000kb|    644.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.553|  228480.0000kb|  16984.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.553|  228480.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.553|  228480.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.553|  228480.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.554|  228484.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.712|  230728.0000kb|   2244.0000kb added| ALWAYS| Physical memory: 8589934592
000001.713|  230728.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.713|  230728.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.713|  230728.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.713|  230732.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.713|  230732.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.713|  230732.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.783|  230660.0000kb|    -72.0000kb added| ALWAYS| Connected
000001.783|  230660.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.783|  230660.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.783|  230660.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.783|  230660.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.783|  230660.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.784|  230660.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.784|  230660.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.784|  230660.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.784|  230660.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.784|  230672.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.154\deploy\preferences\
000001.784|  230680.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000001.784|  230680.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000001.785|  230684.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000001.785|  230692.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000001.785|  230692.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000001.785|  230692.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000001.785|  230692.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000001.785|  230692.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000001.785|  230692.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000001.785|  230696.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000001.785|  230696.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000001.793|  230876.0000kb|    180.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000001.793|  230876.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000001.793|  230912.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.560|  256460.0000kb|  25548.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.610|  257956.0000kb|   1496.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000003.759|  263084.0000kb|   5128.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000003.832|  264592.0000kb|   1508.0000kb added| ALWAYS| Set focus to app
000003.832|  264592.0000kb|      0.0000kb added| ALWAYS| Input started
000003.846|  264664.0000kb|     72.0000kb added| ALWAYS| Query Status Req started
000003.856|  264692.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :00000000198ffb33
000003.857|  264712.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000003.857|  264712.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000003.956|  264712.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000003.956|  264720.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000003.956|  264744.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000003.956|  264744.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000003.958|  264760.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000004.063|  269980.0000kb|   5220.0000kb added| ALWAYS| PlayGame Entered
000004.063|  270048.0000kb|     68.0000kb added| ALWAYS| CurRenderPipeline
000004.085|  278652.0000kb|   8604.0000kb added| ALWAYS| CreateParticleSystemManager
000007.225|  434808.0000kb| 156156.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000007.225|  434808.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000007.225|  434808.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000007.225|  434808.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000007.225|  434808.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
