--- Log started at Tue Jun 26 17:34:27 2012

000000.000|   13404.0000kb|  13404.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.368|  195724.0000kb| 182320.0000kb added| ALWAYS| Global Log Level set to WARN
000000.368|  195744.0000kb|     20.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.455|  199048.0000kb|   3304.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe spectator 216.133.234.17:8088 CCVPXpZnULs19trIf6VWEWERN49lltbv 429853608 NA1 
000000.463|  199968.0000kb|    920.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.463|  199992.0000kb|     24.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.463|  199992.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.463|  199992.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.463|  199992.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.646|  200436.0000kb|    444.0000kb added| ALWAYS| Maestro completed init
000000.646|  200436.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.660|  200640.0000kb|    204.0000kb added| ALWAYS| StartSession called
000000.660|  200648.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.661|  200680.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.661|  200680.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.688|  201304.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x004204ea) enter
000000.710|  210956.0000kb|   9652.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.725|  211608.0000kb|    652.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.509|  228580.0000kb|  16972.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.509|  228580.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.509|  228580.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.509|  228580.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.509|  228584.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.537|  229496.0000kb|    912.0000kb added| ALWAYS| Sleeping
000001.637|  229496.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.637|  229516.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.637|  229516.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.737|  229516.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.737|  229516.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.737|  229516.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.787|  229792.0000kb|    276.0000kb added| ALWAYS| Physical memory: 8589934592
000001.787|  229792.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.787|  229792.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.787|  229792.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.787|  229796.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000001.787|  229796.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.787|  229796.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.837|  229724.0000kb|    -72.0000kb added| ALWAYS| Start processing App Update
000001.837|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.837|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.937|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.937|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.937|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.037|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.037|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.037|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.137|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.137|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.137|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.237|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.237|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.237|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.337|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.337|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.337|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.437|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.437|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.437|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.537|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.537|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.537|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.637|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.637|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.637|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.737|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.737|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.737|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.837|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.937|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.037|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.137|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.237|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.337|  229724.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.437|  229724.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
