--- Log started at Wed Jun 27 02:49:55 2012

000000.000|   13424.0000kb|  13424.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.399|  195752.0000kb| 182328.0000kb added| ALWAYS| Global Log Level set to WARN
000000.399|  195760.0000kb|      8.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.494|  198792.0000kb|   3032.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe 64.7.194.123 5127 sryKQWvuhEvKA5b/27J5iA== 19087802 
000000.495|  198836.0000kb|     44.0000kb added| ALWAYS| Started System Init
000000.496|  199292.0000kb|    456.0000kb added| ALWAYS| Maestro Init
000000.678|  199896.0000kb|    604.0000kb added| ALWAYS| Maestro completed init
000000.692|  200832.0000kb|    936.0000kb added| ALWAYS| StartSession called
000000.692|  200832.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.692|  200856.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.692|  200856.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.695|  201476.0000kb|    620.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0041055e) enter
000000.718|  211016.0000kb|   9540.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.730|  211664.0000kb|    648.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.555|  228628.0000kb|  16964.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.555|  228628.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.555|  228628.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.555|  228628.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.555|  228632.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.785|  230720.0000kb|   2088.0000kb added| ALWAYS| Connected
000001.785|  230720.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.785|  230720.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.785|  230720.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.785|  230720.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
