--- Log started at Wed Jun 27 11:23:45 2012

000000.000|   13432.0000kb|  13432.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.469|  195612.0000kb| 182180.0000kb added| ALWAYS| Global Log Level set to WARN
000000.469|  195680.0000kb|     68.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.552|  198660.0000kb|   2980.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe spectator 216.133.234.17:8088 UCe0V7P7SGdk3EP+S0S6ohW0exsyVnU0 430408972 NA1 
000000.559|  200032.0000kb|   1372.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.559|  200048.0000kb|     16.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.559|  200048.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.559|  200048.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.559|  200048.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.930|  200168.0000kb|    120.0000kb added| ALWAYS| Maestro completed init
000000.930|  200168.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.935|  200372.0000kb|    204.0000kb added| ALWAYS| StartSession called
000000.935|  200372.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.935|  200396.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.935|  200396.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000001.005|  201188.0000kb|    792.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00620894) enter
000001.023|  210904.0000kb|   9716.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.035|  211588.0000kb|    684.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.832|  228664.0000kb|  17076.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.832|  228664.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.832|  228664.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.832|  228664.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.833|  228668.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000002.079|  229580.0000kb|    912.0000kb added| ALWAYS| Sleeping
000002.179|  229848.0000kb|    268.0000kb added| ALWAYS| Start processing App Update
000002.179|  229868.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000002.179|  229868.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.184|  229872.0000kb|      4.0000kb added| ALWAYS| Physical memory: 8589934592
000002.184|  229872.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.184|  229872.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.184|  229872.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.184|  229876.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000002.184|  229876.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.184|  229876.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.279|  229844.0000kb|    -32.0000kb added| ALWAYS| Start processing App Update
000002.279|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.279|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.379|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.379|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.379|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.479|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.479|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.479|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.579|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.579|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.579|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.679|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.679|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.679|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.779|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.779|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.779|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.879|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.879|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.879|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.979|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.979|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.979|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.079|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.079|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.079|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.179|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.179|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.179|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.279|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.279|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.279|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.379|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.379|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.379|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.479|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.479|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.479|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.579|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.579|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.579|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.679|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.679|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.679|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.779|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.779|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.779|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.879|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.879|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.879|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.979|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.979|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.979|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.079|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.079|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.079|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.179|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.179|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.179|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.279|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.279|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.279|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.379|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.379|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.379|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.479|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.479|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.479|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.579|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.579|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.579|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.679|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.679|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.679|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.779|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.779|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.779|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.879|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.879|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.879|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000004.979|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000004.979|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000004.979|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.079|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.079|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.079|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.179|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.179|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.179|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.279|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.279|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.279|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.379|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.379|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.379|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.479|  229844.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.479|  229844.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.479|  229844.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.579|  229860.0000kb|     16.0000kb added| ALWAYS| Start processing App Update
000005.579|  229860.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.579|  229860.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.665|  229888.0000kb|     28.0000kb added| ALWAYS| Spectator server version retrieved: 1.59.01
000005.679|  229888.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000005.679|  229888.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.679|  229888.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.779|  229932.0000kb|     44.0000kb added| ALWAYS| Start processing App Update
000005.779|  229932.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.779|  229932.0000kb|      0.0000kb added| ALWAYS| Sleeping
000005.807|  229940.0000kb|      8.0000kb added| ALWAYS| Replay metadata retrieved.
000005.807|  229940.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.879|  229952.0000kb|     12.0000kb added| ALWAYS| Start processing App Update
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| Replay ready.
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000005.879|  229952.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000005.880|  229952.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2312
000005.880|  229952.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000005.880|  229952.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000005.880|  229952.0000kb|      0.0000kb added| ALWAYS| Started Init render
000005.881|  229964.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.154\deploy\preferences\
000005.881|  229972.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000005.881|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000005.881|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000005.881|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000005.881|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000005.882|  229972.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000005.882|  229980.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000005.882|  229980.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000005.882|  229980.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000005.883|  229980.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000005.883|  229980.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000005.883|  229980.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000005.883|  229984.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000005.883|  229984.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000005.907|  230028.0000kb|     44.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.912|  230028.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.936|  230160.0000kb|    132.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000005.936|  230160.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000005.936|  230196.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000006.149|  232732.0000kb|   2536.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.153|  232732.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 2
000006.334|  237412.0000kb|   4680.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.339|  237428.0000kb|     16.0000kb added| ALWAYS| ---- Downloading Chunk 3
000006.569|  237612.0000kb|    184.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.574|  237612.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 4
000006.848|  237784.0000kb|    172.0000kb added| ALWAYS| ---- Waiting to fetch 5
000006.853|  237784.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 5
000007.052|  237936.0000kb|    152.0000kb added| ALWAYS| ---- Waiting to fetch 5
000007.057|  237936.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 6
000007.159|  238000.0000kb|     64.0000kb added| ALWAYS| ==== Fetch First KeyFrame Info Phase ====
000007.159|  238000.0000kb|      0.0000kb added| ALWAYS| ==== Fetch All Chunks Phase ====
000007.159|  238000.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000007.679|  263180.0000kb|  25180.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000007.913|  264660.0000kb|   1480.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000008.037|  269772.0000kb|   5112.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000008.108|  271568.0000kb|   1796.0000kb added| ALWAYS| Set focus to app
000008.108|  271568.0000kb|      0.0000kb added| ALWAYS| Input started
000008.122|  271640.0000kb|     72.0000kb added| ALWAYS| Waiting for server response...
000008.222|  271640.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 1
000008.222|  271640.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000008.222|  271640.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000008.222|  271668.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000008.222|  271676.0000kb|      8.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000008.222|  271676.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000008.223|  271676.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000008.223|  271684.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000008.223|  271708.0000kb|     24.0000kb added| ALWAYS| netUID: ffffffff defaultname
000008.223|  271708.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000008.224|  271720.0000kb|     12.0000kb added| ALWAYS| PlayGame Started
000008.417|  276860.0000kb|   5140.0000kb added| ALWAYS| PlayGame Entered
000008.744|  326948.0000kb|  50088.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.019|  330716.0000kb|   3768.0000kb added| ALWAYS| CurRenderPipeline
000009.022|  330376.0000kb|   -340.0000kb added| ALWAYS| CreateParticleSystemManager
000009.206|  341828.0000kb|  11452.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.206|  341828.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.285|  343864.0000kb|   2036.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.369|  345920.0000kb|   2056.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.369|  345920.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.370|  345920.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019a7850c
000009.557|  360892.0000kb|  14972.0000kb added| ALWAYS| **** Request chunk 2
000009.557|  360892.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 2 of chunk type 1
000009.557|  360892.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 2  chunk start time: 0.000000  current time: 0.000000
000009.567|  360892.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 3
000009.567|  360892.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 3 of chunk type 1
000009.567|  360892.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 3  chunk start time: 0.000000  current time: 0.000000
000009.581|  360892.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 4
000009.581|  360892.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 4 of chunk type 1
000009.581|  360892.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 4  chunk start time: 0.000000  current time: 0.000000
000009.596|  360892.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 5
000009.596|  360892.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 5 of chunk type 1
000009.596|  360892.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 5  chunk start time: 0.000000  current time: 0.000000
000009.609|  360892.0000kb|      0.0000kb added| ALWAYS| **** Request chunk 6
000009.609|  360892.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 6 of chunk type 1
000009.609|  360892.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 6  chunk start time: 0.000000  current time: 0.000000
000009.615|  360892.0000kb|      0.0000kb added| ALWAYS| **** Didnt have a valid chunk.  keyframe: -1   chunk: 7
000011.901|  452996.0000kb|  92104.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000011.901|  452996.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000011.901|  452996.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000011.901|  452996.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000011.901|  452996.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000011.901|  452996.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000011.901|  452996.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000011.901|  453068.0000kb|     72.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000013.067|  465112.0000kb|  12044.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000013.110|  467208.0000kb|   2096.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000013.113|  467368.0000kb|    160.0000kb added| ALWAYS| GameWorld.Update()
000013.113|  467368.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000013.473|  483948.0000kb|  16580.0000kb added| ALWAYS| End Game Object Update
000014.518|  512560.0000kb|  28612.0000kb added| ALWAYS| PreloadGlobalEffects()
000014.518|  512560.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000014.906|  548968.0000kb|  36408.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000014.906|  548968.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000015.155|  552920.0000kb|   3952.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000015.156|  552948.0968kb|     28.0000kb added| ALWAYS| FogOfWar::Init()
000015.158|  553036.0032kb|     88.0000kb added| ALWAYS| Gamma::CreateIAPI()
000015.160|  553060.0968kb|     24.0000kb added| ALWAYS| SimulationClock->Init()
000016.348|  598624.0000kb|  45564.0000kb added|   WARN| Flash swf data\menu\ReplayUI.swf does not have a valid _global.ContentWidth defaulting
000017.159|  615156.0000kb|  16532.0000kb added| ALWAYS| Requesting LastAvailableChunkInfo.
000017.264|  617836.0000kb|   2680.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000019.923|  650884.0968kb|  33048.0000kb added|  ERROR| RADS::API::Impl::FileManagedCompressed::Read: End of file
000026.941|  699840.0000kb|  48956.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000026.941|  699840.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000027.060|  719520.0000kb|  19680.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000027.107|  739492.0968kb|  19972.0000kb added| ALWAYS| Start Main Loop
000027.107|  739492.0968kb|      0.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000027.107|  739512.0000kb|     20.0000kb added| ALWAYS| Waiting for all players to connect
000027.107|  739512.0000kb|      0.0000kb added| ALWAYS| Waiting for all players to connect end
