--- Log started at Thu Jun 28 12:54:59 2012

000000.000|   13416.0000kb|  13416.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.355|  195744.0000kb| 182328.0000kb added| ALWAYS| Global Log Level set to WARN
000000.355|  195768.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.439|  198800.0000kb|   3032.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe spectator 216.133.234.17:8088 R1aZmWQ0OOw+mGoN06wr19UytPhIqphf 431418391 NA1 
000000.447|  200604.0000kb|   1804.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.447|  200620.0000kb|     16.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.447|  200628.0000kb|      8.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.447|  200628.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.447|  200628.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.594|  201084.0000kb|    456.0000kb added| ALWAYS| Maestro completed init
000000.594|  201084.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.602|  201284.0000kb|    200.0000kb added| ALWAYS| StartSession called
000000.602|  201292.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.603|  201328.0000kb|     36.0000kb added| ALWAYS| Waiting until connection...
000000.603|  201328.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.605|  201944.0000kb|    616.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00f404f4) enter
000000.624|  211560.0000kb|   9616.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.639|  212288.0000kb|    728.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.421|  229252.0000kb|  16964.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.421|  229252.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.421|  229252.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.421|  229252.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.421|  229256.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.444|  230172.0000kb|    916.0000kb added| ALWAYS| Sleeping
000001.544|  230172.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.545|  230192.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.545|  230192.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.644|  230192.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.644|  230192.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.644|  230192.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.744|  230228.0000kb|     36.0000kb added| ALWAYS| Start processing App Update
000001.744|  230228.0000kb|      0.0000kb added| ALWAYS| End processing App Update
