--- Log started at Thu Jun 28 13:27:59 2012

000000.000|   13452.0000kb|  13452.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.354|  195700.0000kb| 182248.0000kb added| ALWAYS| Global Log Level set to WARN
000000.354|  195724.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 15 2012/17:03:43) [PUBLIC] <__LIVE__>
000000.437|  198608.0000kb|   2884.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.154/deploy/LolClient.exe spectator 216.133.234.17:8088 r+NiztbLMkG51WmhzhdyqkdyCLPvQbn1 431439701 NA1 
000000.444|  199948.0000kb|   1340.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.445|  199964.0000kb|     16.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.445|  199964.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.445|  199964.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.445|  199964.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.593|  200084.0000kb|    120.0000kb added| ALWAYS| Maestro completed init
000000.593|  200084.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.597|  200316.0000kb|    232.0000kb added| ALWAYS| StartSession called
000000.597|  200340.0000kb|     24.0000kb added| ALWAYS| Started Init event arguments
000000.598|  200372.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.598|  200372.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.600|  200996.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00cc08f4) enter
000000.618|  210648.0000kb|   9652.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.630|  211372.0000kb|    724.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.414|  228648.0000kb|  17276.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.415|  228648.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.415|  228648.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.415|  228648.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml".
000001.415|  228652.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.160/deploy/data/menu/IMEConfig.xml (from file (null))
000001.439|  229544.0000kb|    892.0000kb added| ALWAYS| Sleeping
000001.539|  229544.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.539|  229564.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.539|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.639|  229564.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.639|  229564.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.639|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.739|  229564.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.739|  229564.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.739|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.839|  229564.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.839|  229564.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.839|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.939|  229564.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.939|  229564.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.939|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.039|  229564.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.039|  229564.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.039|  229564.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.118|  229756.0000kb|    192.0000kb added| ALWAYS| Physical memory: 8589934592
000002.118|  229756.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.118|  229756.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.118|  229756.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.118|  229760.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2333
000002.118|  229760.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.118|  229760.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.139|  229688.0000kb|    -72.0000kb added| ALWAYS| Start processing App Update
000002.139|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.139|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.239|  229688.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.239|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.239|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.339|  229688.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.339|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.339|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.439|  229688.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.439|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.439|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.539|  229688.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.539|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.539|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.639|  229688.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.639|  229688.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.639|  229688.0000kb|      0.0000kb added| ALWAYS| Sleeping
