--- Log started at Fri Jun 29 16:29:55 2012

000000.000|   13484.0000kb|  13484.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.360|  195624.0000kb| 182140.0000kb added| ALWAYS| Global Log Level set to WARN
000000.360|  195644.0000kb|     20.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.402|  198672.0000kb|   3028.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe 216.133.234.60 5179 WC3pIIUT0JAZUQmTidc2yg== 19087802 
000000.402|  198728.0000kb|     56.0000kb added| ALWAYS| Started System Init
000000.404|  198896.0000kb|    168.0000kb added| ALWAYS| Maestro Init
000000.547|  199500.0000kb|    604.0000kb added| ALWAYS| Maestro completed init
000000.562|  200476.0000kb|    976.0000kb added| ALWAYS| StartSession called
000000.562|  200480.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.562|  200512.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.562|  200512.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.565|  201132.0000kb|    620.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0066097a) enter
000000.582|  210688.0000kb|   9556.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.594|  211404.0000kb|    716.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.398|  228696.0000kb|  17292.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.398|  228696.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.398|  228696.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.398|  228696.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.398|  228700.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.630|  230828.0000kb|   2128.0000kb added| ALWAYS| Connected
000001.631|  230860.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019c734bc
000001.631|  230860.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.631|  230860.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.631|  230860.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.631|  230860.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.631|  230864.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2320
000001.631|  230864.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.631|  230864.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.631|  230876.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000001.631|  230888.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.631|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.631|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.631|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000001.632|  230888.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000001.632|  230892.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000001.632|  230900.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000001.632|  230900.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000001.632|  230900.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000001.632|  230900.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000001.632|  230900.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000001.632|  230900.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000001.632|  230904.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000001.632|  230904.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000001.636|  231064.0000kb|    160.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000001.636|  231064.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000001.636|  231100.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000002.116|  237348.0000kb|   6248.0000kb added| ALWAYS| Physical memory: 8589934592
000002.116|  237348.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.116|  237348.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.116|  237348.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.117|  237348.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2289
000002.117|  237348.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.117|  237348.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.448|  259148.0000kb|  21800.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.495|  260624.0000kb|   1476.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000003.625|  265792.0000kb|   5168.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000003.699|  267292.0000kb|   1500.0000kb added| ALWAYS| Set focus to app
000003.699|  267292.0000kb|      0.0000kb added| ALWAYS| Input started
000003.717|  267352.0000kb|     60.0000kb added| ALWAYS| Query Status Req started
000003.727|  267372.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000003.727|  267376.0000kb|      4.0000kb added| ALWAYS| Waiting for server response...
000003.827|  267376.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000003.827|  267384.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000003.827|  267408.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000003.827|  267408.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000003.828|  267432.0000kb|     24.0000kb added| ALWAYS| PlayGame Started
000003.931|  272584.0000kb|   5152.0000kb added| ALWAYS| PlayGame Entered
000003.932|  272904.0000kb|    320.0000kb added| ALWAYS| CurRenderPipeline
000003.956|  281648.0000kb|   8744.0000kb added| ALWAYS| CreateParticleSystemManager
000006.571|  439236.0000kb| 157588.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000006.571|  439236.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000006.571|  439236.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000006.571|  439236.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000006.571|  439236.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000006.571|  439236.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000006.571|  439236.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000006.571|  439236.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000007.629|  453464.0000kb|  14228.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000007.670|  455560.0000kb|   2096.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000007.674|  455848.0000kb|    288.0000kb added| ALWAYS| GameWorld.Update()
000007.674|  455848.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000008.155|  473660.0000kb|  17812.0000kb added| ALWAYS| End Game Object Update
000009.685|  505200.0000kb|  31540.0000kb added| ALWAYS| PreloadGlobalEffects()
000009.685|  505200.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000010.430|  541784.0000kb|  36584.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000010.430|  541784.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000010.669|  545744.0000kb|   3960.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000010.670|  545764.0968kb|     20.0000kb added| ALWAYS| FogOfWar::Init()
000010.671|  545884.0032kb|    120.0000kb added| ALWAYS| Gamma::CreateIAPI()
000010.673|  545908.0968kb|     24.0000kb added| ALWAYS| SimulationClock->Init()
000010.838|  570716.0032kb|  24808.0000kb added|   WARN| Flash swf data/menu/Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000011.404|  613996.0032kb|  43280.0000kb added|   WARN| Flash swf data\menu\Tooltips.swf does not have a valid _global.ContentWidth defaulting
000011.409|  614428.0032kb|    432.0000kb added|   WARN| Flash swf data\menu\RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000012.367|  638896.0000kb|  24468.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000012.367|  638896.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/darkchampioo_endlessrage.dds", "rb") failed: No such file or directory
000012.367|  638896.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000012.367|  638896.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/darkchampioo_endlessrage.dds".
000012.367|  638896.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/darkchampioo_endlessrage.dds (from file r3dTexture::LoadRawTexture)
000012.367|  638896.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/darkchampioo_endlessrage.dds> *********
000012.367|  638896.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/darkchampioo_endlessrage.dds
000012.367|  638896.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/darkchampioo_endlessrage.dds - not found. Dummy texture created.
000012.583|  643604.0968kb|   4708.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000012.583|  643604.0968kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/particles/mordekaiser_knight_tx_cm2.dds", "rb") failed: No such file or directory
000012.583|  643604.0968kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000012.583|  643604.0968kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/particles/mordekaiser_knight_tx_cm2.dds".
000012.583|  643604.0968kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/particles/mordekaiser_knight_tx_cm2.dds (from file r3dTexture::LoadRawTexture)
000012.583|  643604.0968kb|      0.0000kb added|  ERROR| Can not open file <data/particles/mordekaiser_knight_tx_cm2.dds> *********
000012.584|  643604.0968kb|      0.0000kb added|  ERROR| Failed to load data/particles/mordekaiser_knight_tx_cm2.dds
000012.584|  643604.0968kb|      0.0000kb added|   WARN| r3dTexture EX: data/particles/mordekaiser_knight_tx_cm2.dds - not found. Dummy texture created.
000013.390|  650396.0032kb|   6792.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
