--- Log started at Fri Jun 29 21:17:53 2012

000000.000|   13384.0000kb|  13384.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.373|  195500.0000kb| 182116.0000kb added| ALWAYS| Global Log Level set to WARN
000000.373|  195504.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.416|  198804.0000kb|   3300.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe spectator 216.133.234.17:8088 zH6b2UzCneCzkK0be6lxJUsXG04B1J3O 432814143 NA1 
000000.424|  199740.0000kb|    936.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.424|  199756.0000kb|     16.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.424|  199756.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.424|  199756.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.424|  199756.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.600|  200184.0000kb|    428.0000kb added| ALWAYS| Maestro completed init
000000.600|  200184.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.616|  200432.0000kb|    248.0000kb added| ALWAYS| StartSession called
000000.616|  200444.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.616|  200476.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.616|  200476.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.619|  201116.0000kb|    640.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00e0044e) enter
000000.636|  210728.0000kb|   9612.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.647|  211440.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.431|  228420.0000kb|  16980.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.431|  228420.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.431|  228420.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
