--- Log started at Sat Jun 30 14:24:57 2012

000000.000|   13488.0000kb|  13488.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.365|  195628.0000kb| 182140.0000kb added| ALWAYS| Global Log Level set to WARN
000000.366|  195652.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.409|  198368.0000kb|   2716.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe 216.133.234.214 5184 1lhqiIjZ6hesFLtLa7PS9Q== 19087802 
000000.410|  198384.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.412|  199040.0000kb|    656.0000kb added| ALWAYS| Maestro Init
000000.554|  199704.0000kb|    664.0000kb added| ALWAYS| Maestro completed init
000000.570|  200692.0000kb|    988.0000kb added| ALWAYS| StartSession called
000000.570|  200692.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.570|  200716.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.571|  200716.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.573|  201344.0000kb|    628.0000kb added| ALWAYS| r3dRenderLayer::Init(0x01b20132) enter
000000.599|  219088.0000kb|  17744.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.610|  219800.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.413|  237136.0000kb|  17336.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.413|  237136.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.413|  237136.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.413|  237136.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.413|  237140.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.646|  239276.0000kb|   2136.0000kb added| ALWAYS| Connected
000001.646|  239312.0000kb|     36.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019d72355
000001.646|  239312.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.646|  239312.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.646|  239312.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.646|  239312.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.646|  239316.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.646|  239316.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.647|  239316.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.647|  239328.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000001.647|  239340.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.647|  239340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.647|  239340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.647|  239340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000001.647|  239340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000001.647|  239340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
