--- Log started at Sun Jul 01 03:49:45 2012

000000.000|   13456.0000kb|  13456.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.556|  195636.0000kb| 182180.0000kb added| ALWAYS| Global Log Level set to WARN
000000.556|  195636.0000kb|      0.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.646|  199312.0000kb|   3676.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe 64.7.194.162 5133 eXz7+95Ob6IO59fWjpcHug== 32426493 
000000.647|  199320.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.648|  199400.0000kb|     80.0000kb added| ALWAYS| Maestro Init
000001.440|  199916.0000kb|    516.0000kb added| ALWAYS| Maestro completed init
000001.473|  200972.0000kb|   1056.0000kb added| ALWAYS| StartSession called
000001.474|  200984.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000001.474|  201016.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000001.474|  201016.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000001.479|  201652.0000kb|    636.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00c209d8) enter
000001.819|  211132.0000kb|   9480.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.830|  211848.0000kb|    716.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000002.457|  225552.0000kb|  13704.0000kb added| ALWAYS| Physical memory: 8589934592
000002.457|  225560.0000kb|      8.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.457|  225560.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.457|  225560.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.457|  225564.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000002.457|  225564.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.458|  225564.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.574|  229064.0000kb|   3500.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000002.574|  229064.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000002.574|  229064.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000002.574|  229064.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000002.574|  229068.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000003.035|  231208.0000kb|   2140.0000kb added| ALWAYS| Connected
000003.035|  231240.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000019dfab97
000003.035|  231240.0000kb|      0.0000kb added| ALWAYS| Received client ID
000003.035|  231240.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.035|  231240.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000003.035|  231240.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000003.035|  231240.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000003.036|  231240.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000003.036|  231240.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000003.036|  231240.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.036|  231240.0000kb|      0.0000kb added| ALWAYS| Started Init render
000003.037|  231252.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000003.037|  231264.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.037|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.038|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.038|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.038|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.038|  231264.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.038|  231268.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.038|  231276.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.038|  231276.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.038|  231276.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.038|  231276.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.038|  231276.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.038|  231276.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.038|  231280.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.038|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.038|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.038|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.039|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.039|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.039|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.039|  231280.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.048|  231444.0000kb|    164.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.048|  231444.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.048|  231480.0000kb|     36.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.674|  257080.0000kb|  25600.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.749|  258012.0000kb|    932.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.903|  263156.0000kb|   5144.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000004.978|  264704.0000kb|   1548.0000kb added| ALWAYS| Set focus to app
000004.978|  264704.0000kb|      0.0000kb added| ALWAYS| Input started
000004.996|  264756.0000kb|     52.0000kb added| ALWAYS| Query Status Req started
000005.006|  264776.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000005.006|  264780.0000kb|      4.0000kb added| ALWAYS| Waiting for server response...
000005.206|  264780.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.141 [PUBLIC]
000005.206|  264788.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000005.206|  264812.0000kb|     24.0000kb added| ALWAYS| netUID: 5 defaultname
000005.206|  264812.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.236|  264836.0000kb|     24.0000kb added| ALWAYS| PlayGame Started
000005.376|  270132.0000kb|   5296.0000kb added| ALWAYS| PlayGame Entered
000005.376|  270204.0000kb|     72.0000kb added| ALWAYS| CurRenderPipeline
000005.398|  279000.0000kb|   8796.0000kb added| ALWAYS| CreateParticleSystemManager
000015.953|  435700.0000kb| 156700.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000015.953|  435700.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000015.953|  435700.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000015.953|  435700.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000015.954|  435700.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000015.954|  435700.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000015.954|  435700.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000015.954|  435700.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000019.326|  448824.0000kb|  13124.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000019.404|  450920.0000kb|   2096.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000019.407|  451108.0000kb|    188.0000kb added| ALWAYS| GameWorld.Update()
000019.407|  451108.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000020.566|  467932.0000kb|  16824.0000kb added| ALWAYS| End Game Object Update
000027.985|  497092.0000kb|  29160.0000kb added| ALWAYS| PreloadGlobalEffects()
000027.985|  497092.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000029.780|  533356.0000kb|  36264.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000029.780|  533356.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000030.369|  537808.0000kb|   4452.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000030.371|  537828.0968kb|     20.0000kb added| ALWAYS| FogOfWar::Init()
000030.387|  537976.0000kb|    148.0000kb added| ALWAYS| Gamma::CreateIAPI()
000030.389|  537992.0000kb|     16.0000kb added| ALWAYS| SimulationClock->Init()
000031.186|  571496.0000kb|  33504.0000kb added|   WARN| Flash swf data/menu/Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000032.413|  609892.0968kb|  38396.0000kb added|   WARN| Flash swf data\menu\Tooltips.swf does not have a valid _global.ContentWidth defaulting
000032.518|  609900.0032kb|      8.0000kb added|   WARN| Flash swf data\menu\RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000035.900|  633672.0000kb|  23772.0000kb added|  ERROR| Bone name too long.  Truncating name: pasted__pasted__pasted__pasted_!
000035.988|  634456.0000kb|    784.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000035.988|  634456.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/characters/fizzshark/info/xenzhao_circle.dds", "rb") failed: No such file or directory
000035.988|  634456.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/characters/fizzshark/info/xenzhao_circle.dds".
000035.988|  634456.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/characters/fizzshark/info/xenzhao_circle.dds (from file r3dTexture::LoadRawTexture)
000035.988|  634456.0000kb|      0.0000kb added|  ERROR| Can not open file <data/characters/fizzshark/info/xenzhao_circle.dds> *********
000035.988|  634456.0000kb|      0.0000kb added|  ERROR| Failed to load data/characters/fizzshark/info/xenzhao_circle.dds
000035.988|  634456.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/characters/fizzshark/info/xenzhao_circle.dds - not found. Dummy texture created.
000035.989|  634456.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000035.989|  634456.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/characters/fizzshark/info/xenzhao_square.dds", "rb") failed: No such file or directory
000035.989|  634456.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000035.989|  634456.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/characters/fizzshark/info/xenzhao_square.dds".
000035.989|  634456.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/characters/fizzshark/info/xenzhao_square.dds (from file r3dTexture::LoadRawTexture)
000035.989|  634456.0000kb|      0.0000kb added|  ERROR| Can not open file <data/characters/fizzshark/info/xenzhao_square.dds> *********
000035.989|  634456.0000kb|      0.0000kb added|  ERROR| Failed to load data/characters/fizzshark/info/xenzhao_square.dds
000035.989|  634456.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/characters/fizzshark/info/xenzhao_square.dds - not found. Dummy texture created.
000036.021|  635192.0000kb|    736.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000036.021|  635192.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds", "rb") failed: No such file or directory
000036.022|  635192.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000036.022|  635192.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds".
000036.022|  635192.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds (from file r3dTexture::LoadRawTexture)
000036.022|  635192.0000kb|      0.0000kb added|  ERROR| Can not open file <data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds> *********
000036.022|  635192.0000kb|      0.0000kb added|  ERROR| Failed to load data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds
000036.022|  635192.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/characters/fizzshark/info/xinzhao_tirelesswarrior.dds - not found. Dummy texture created.
000040.115|  681292.0032kb|  46100.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000040.115|  681292.0032kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/particles/purp_white_lightbar.tga", "rb") failed: No such file or directory
000040.115|  681292.0032kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000040.115|  681292.0032kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/particles/purp_white_lightbar.tga".
000040.116|  681292.0032kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/particles/purp_white_lightbar.tga (from file r3dTexture::LoadRawTexture)
000040.116|  681292.0032kb|      0.0000kb added|  ERROR| Can not open file <data/particles/purp_white_lightbar.tga> *********
000040.116|  681292.0032kb|      0.0000kb added|  ERROR| Failed to load data/particles/purp_white_lightbar.tga
000040.116|  681292.0032kb|      0.0000kb added|   WARN| r3dTexture EX: data/particles/purp_white_lightbar.tga - not found. Dummy texture created.
