--- Log started at Mon Jul 02 13:47:01 2012

000000.000|   13672.0000kb|  13672.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.354|  195540.0000kb| 181868.0000kb added| ALWAYS| Global Log Level set to WARN
000000.354|  195624.0000kb|     84.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.384|  199288.0000kb|   3664.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe spectator 216.133.234.17:8088 lklYR8apZuLwGjJHLGFPxb9nEzLteE70 435581018 NA1 
000000.394|  200316.0000kb|   1028.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.394|  200328.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.394|  200328.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.394|  200328.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.394|  200328.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.530|  200432.0000kb|    104.0000kb added| ALWAYS| Maestro completed init
000000.530|  200432.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.538|  200688.0000kb|    256.0000kb added| ALWAYS| StartSession called
000000.538|  200688.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.538|  200712.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.538|  200712.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.541|  201360.0000kb|    648.0000kb added| ALWAYS| r3dRenderLayer::Init(0x002b0ae8) enter
000000.562|  211004.0000kb|   9644.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.575|  211716.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.366|  229028.0000kb|  17312.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.366|  229028.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.366|  229028.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.366|  229028.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.366|  229032.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.398|  230012.0000kb|    980.0000kb added| ALWAYS| Sleeping
000001.497|  230012.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.497|  230032.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.497|  230032.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.597|  230032.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.597|  230032.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.597|  230032.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.697|  230032.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.697|  230032.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.697|  230032.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.797|  230316.0000kb|    284.0000kb added| ALWAYS| Start processing App Update
000001.797|  230320.0000kb|      4.0000kb added| ALWAYS| End processing App Update
000001.797|  230320.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.821|  230296.0000kb|    -24.0000kb added| ALWAYS| Physical memory: 8589934592
