--- Log started at Tue Jul 03 21:02:20 2012

000000.000|   13484.0000kb|  13484.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.367|  195424.0000kb| 181940.0000kb added| ALWAYS| Global Log Level set to WARN
000000.367|  195444.0000kb|     20.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.399|  199116.0000kb|   3672.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe 216.133.234.138 5207 tlki0r0IhE4qADfHmawSGQ== 19087802 
000000.399|  199124.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.401|  199208.0000kb|     84.0000kb added| ALWAYS| Maestro Init
000000.535|  199372.0000kb|    164.0000kb added| ALWAYS| Maestro completed init
000000.550|  200480.0000kb|   1108.0000kb added| ALWAYS| StartSession called
000000.550|  200492.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.550|  200524.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.550|  200524.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.553|  201132.0000kb|    608.0000kb added| ALWAYS| r3dRenderLayer::Init(0x006b0ae6) enter
000000.575|  210448.0000kb|   9316.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.586|  211160.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.392|  228484.0000kb|  17324.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.393|  228484.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.393|  228484.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.393|  228484.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.393|  228488.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.620|  230596.0000kb|   2108.0000kb added| ALWAYS| Connected
000001.621|  230596.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.621|  230596.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.621|  230596.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.621|  230596.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.621|  230600.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2309
000001.621|  230600.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.621|  230600.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.622|  230612.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.158\deploy\preferences\
000001.622|  230624.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
