--- Log started at Wed Jul 04 20:23:57 2012

000000.000|   13528.0000kb|  13528.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.363|  195504.0000kb| 181976.0000kb added| ALWAYS| Global Log Level set to WARN
000000.363|  195512.0000kb|      8.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.399|  199064.0000kb|   3552.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe spectator 216.133.234.17:8088 8ADbX0RAjrpEasSsiS0jXu/g5c1ispse 438050080 NA1 
000000.408|  200076.0000kb|   1012.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.408|  200096.0000kb|     20.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.408|  200096.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.408|  200096.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.408|  200096.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.545|  200220.0000kb|    124.0000kb added| ALWAYS| Maestro completed init
000000.545|  200220.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.554|  200448.0000kb|    228.0000kb added| ALWAYS| StartSession called
000000.554|  200460.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.555|  200508.0000kb|     48.0000kb added| ALWAYS| Waiting until connection...
000000.555|  200508.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.557|  201132.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x005a057c) enter
000000.586|  218944.0000kb|  17812.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.597|  219656.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.393|  236972.0000kb|  17316.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.393|  236972.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.393|  236972.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.393|  236972.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.393|  236976.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.422|  237956.0000kb|    980.0000kb added| ALWAYS| Sleeping
000001.521|  237956.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.522|  237976.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.522|  237976.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.622|  237976.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.622|  237976.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.622|  237976.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.722|  237976.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.722|  237976.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.722|  237976.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.821|  237976.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.822|  237976.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.822|  237976.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.921|  237976.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.922|  237976.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.922|  237976.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.985|  238276.0000kb|    300.0000kb added| ALWAYS| Physical memory: 8589934592
000001.985|  238276.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.985|  238276.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.985|  238276.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.985|  238280.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.985|  238280.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.985|  238280.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.022|  238220.0000kb|    -60.0000kb added| ALWAYS| Start processing App Update
000002.022|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.022|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.121|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.160|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.160|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.259|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.260|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.260|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.360|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.360|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.360|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.459|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.460|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.460|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.560|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.560|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.560|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.660|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.660|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.660|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.760|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.860|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.960|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.060|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.160|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.260|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.360|  238220.0000kb|      0.0000kb added| ALWAYS| Sleeping
