--- Log started at Thu Jul 05 20:33:53 2012

000000.000|   13652.0000kb|  13652.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.375|  195592.0000kb| 181940.0000kb added| ALWAYS| Global Log Level set to WARN
000000.375|  195624.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 1.0.0.141 (Jun 28 2012/21:34:11) [PUBLIC] <__LIVE__>
000000.409|  199312.0000kb|   3688.0000kb added| ALWAYS| 8394 LoLLauncher.exe C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.158/deploy/LolClient.exe spectator 216.133.234.17:8088 yBjkc1Y2KpLxN6izTKhNXXfwnW8MYQxo 438980584 NA1 
000000.418|  200316.0000kb|   1004.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.418|  200336.0000kb|     20.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.418|  200336.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.418|  200336.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.418|  200336.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.582|  200796.0000kb|    460.0000kb added| ALWAYS| Maestro completed init
000000.582|  200796.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.592|  201020.0000kb|    224.0000kb added| ALWAYS| StartSession called
000000.592|  201036.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.592|  201068.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.592|  201068.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.595|  201668.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x017a07f8) enter
000000.613|  211288.0000kb|   9620.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.626|  212004.0000kb|    716.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.641|  228980.0000kb|  16976.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.641|  228980.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.642|  228980.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.642|  228980.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml".
000001.642|  228984.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.162/deploy/data/menu/IMEConfig.xml (from file (null))
000001.673|  229972.0000kb|    988.0000kb added| ALWAYS| Sleeping
000001.773|  230288.0000kb|    316.0000kb added| ALWAYS| Start processing App Update
000001.773|  230308.0000kb|     20.0000kb added| ALWAYS| End processing App Update
000001.773|  230308.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.784|  230312.0000kb|      4.0000kb added| ALWAYS| Physical memory: 8589934592
000001.784|  230312.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.784|  230312.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.784|  230312.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.784|  230316.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000001.784|  230316.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.784|  230316.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.873|  230272.0000kb|    -44.0000kb added| ALWAYS| Start processing App Update
000001.873|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.873|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.973|  230272.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.973|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.973|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.073|  230272.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.073|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.073|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.173|  230272.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.173|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.173|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.273|  230272.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.273|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.273|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.373|  230272.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.373|  230272.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.373|  230272.0000kb|      0.0000kb added| ALWAYS| Sleeping
