--- Log started at Sat Jul 14 03:15:13 2012

000000.000|   13592.0000kb|  13592.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.378|  195500.0000kb| 181908.0000kb added| ALWAYS| Global Log Level set to WARN
000000.378|  195524.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.142 (Jul  6 2012/15:00:22) [PUBLIC] <__MAIN__>
000000.405|  198920.0000kb|   3396.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.171/deploy/LolClient.exe" "216.133.234.108 5119 inzt+CpXgMPNwF6miyrAIQ== <id_removed>"
000000.405|  198924.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.407|  199044.0000kb|    120.0000kb added| ALWAYS| Maestro Init
000000.487|  199448.0000kb|    404.0000kb added| ALWAYS| Maestro completed init
000000.501|  200724.0000kb|   1276.0000kb added| ALWAYS| StartSession called
000000.501|  200724.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.501|  200748.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.501|  200748.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.504|  201380.0000kb|    632.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00230416) enter
000000.524|  210920.0000kb|   9540.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.537|  211656.0000kb|    736.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.328|  228800.0000kb|  17144.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.328|  228800.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.328|  228800.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.328|  228800.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml".
000001.328|  228804.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml (from file (null))
000001.550|  230996.0000kb|   2192.0000kb added| ALWAYS| Connected
000001.550|  231024.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001aabccfe
000001.550|  231024.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.550|  231024.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
