--- Log started at Wed Jul 18 18:42:58 2012

000000.000|   13568.0000kb|  13568.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.376|  195588.0000kb| 182020.0000kb added| ALWAYS| Global Log Level set to WARN
000000.377|  195612.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.142 (Jul  6 2012/15:00:22) [PUBLIC] <__MAIN__>
000000.412|  199040.0000kb|   3428.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.171/deploy/LolClient.exe" "216.133.234.219 5215 TWazEUBqooVTA1ebzZV2tw== <id_removed>"
000000.412|  199052.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.414|  199184.0000kb|    132.0000kb added| ALWAYS| Maestro Init
000000.494|  199340.0000kb|    156.0000kb added| ALWAYS| Maestro completed init
000000.509|  200660.0000kb|   1320.0000kb added| ALWAYS| StartSession called
000000.509|  200660.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000000.510|  200788.0000kb|    128.0000kb added| ALWAYS| Waiting until connection...
000000.510|  200788.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.548|  201512.0000kb|    724.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00910484) enter
000000.645|  209424.0000kb|   7912.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.660|  210156.0000kb|    732.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.419|  227308.0000kb|  17152.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.419|  227308.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.419|  227308.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.419|  227308.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml".
000001.419|  227312.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.165/deploy/data/menu/IMEConfig.xml (from file (null))
000001.666|  231032.0000kb|   3720.0000kb added| ALWAYS| Connected
000001.666|  231060.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001af1d383
000001.666|  231060.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.666|  231060.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.666|  231060.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.666|  231060.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.666|  231064.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2336
000001.666|  231064.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.666|  231064.0000kb|      0.0000kb added| ALWAYS| Started Init render
