--- Log started at Fri Jul 20 15:57:12 2012

000000.000|   13328.0000kb|  13328.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000001.126|  195952.0000kb| 182624.0000kb added| ALWAYS| Global Log Level set to WARN
000001.126|  195952.0000kb|      0.0000kb added| ALWAYS| Build Version: Version 1.0.0.143 (Jul 18 2012/13:03:39) [PUBLIC] <__MAIN__>
000001.351|  199352.0000kb|   3400.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.175/deploy/LolClient.exe" "spectator 216.133.234.17:8088 Expn+Qi+6k6/EM7pFIpY8oFnxkDmg3Gp 453994960 <id_removed>"
000001.364|  200352.0000kb|   1000.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000001.364|  200364.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000001.364|  200364.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000001.365|  200372.0000kb|      8.0000kb added| ALWAYS| Started System Init
000001.365|  200376.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000001.470|  200944.0000kb|    568.0000kb added| ALWAYS| Maestro completed init
000001.470|  200944.0000kb|      0.0000kb added| ALWAYS| Replay mode
000001.496|  201232.0000kb|    288.0000kb added| ALWAYS| StartSession called
000001.496|  201240.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000001.497|  201280.0000kb|     40.0000kb added| ALWAYS| Waiting until connection...
000001.497|  201280.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000001.525|  201896.0000kb|    616.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00090766) enter
000001.865|  211540.0000kb|   9644.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.878|  212252.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000002.582|  228636.0000kb|  16384.0000kb added| ALWAYS| Physical memory: 8589934592
000002.582|  228636.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.582|  228636.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
