--- Log started at Mon Jul 30 16:36:09 2012

000000.000|   13516.0000kb|  13516.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.401|  196116.0000kb| 182600.0000kb added| ALWAYS| Global Log Level set to WARN
000000.401|  196132.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 1.0.0.143 (Jul 18 2012/13:03:39) [PUBLIC] <__MAIN__>
000000.433|  199636.0000kb|   3504.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.176/deploy/LolClient.exe" "216.133.234.132 5106 4/VHffq/Cxo1nLP1SUUHZA== <id_removed>"
000000.434|  199644.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.436|  199748.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.522|  199916.0000kb|    168.0000kb added| ALWAYS| Maestro completed init
000001.519|  201500.0000kb|   1584.0000kb added| ALWAYS| StartSession called
000001.519|  201508.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000001.520|  201552.0000kb|     44.0000kb added| ALWAYS| Waiting until connection...
000001.520|  201552.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000001.525|  202284.0000kb|    732.0000kb added| ALWAYS| r3dRenderLayer::Init(0x006805ae) enter
000001.678|  211548.0000kb|   9264.0000kb added| ALWAYS| Physical memory: 8589934592
000001.678|  211548.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.678|  211548.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.678|  211548.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.678|  211552.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2323
