--- Log started at Tue Jul 31 20:25:03 2012

000000.000|   13564.0000kb|  13564.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.425|  196140.0000kb| 182576.0000kb added| ALWAYS| Global Log Level set to WARN
000000.425|  196164.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.143 (Jul 18 2012/13:03:39) [PUBLIC] <__MAIN__>
000000.511|  199572.0000kb|   3408.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.176/deploy/LolClient.exe" "spectator 216.133.234.17:8088 XavzRVdZzkFWlaTZY/dUC6h3zEk+Ty/V 465356758 <id_removed>"
000000.520|  200552.0000kb|    980.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.520|  200572.0000kb|     20.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.520|  200572.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.520|  200572.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.520|  200576.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.598|  200700.0000kb|    124.0000kb added| ALWAYS| Maestro completed init
000000.598|  200700.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.754|  201012.0000kb|    312.0000kb added| ALWAYS| StartSession called
000000.754|  201028.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.754|  201068.0000kb|     40.0000kb added| ALWAYS| Waiting until connection...
000000.755|  201068.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.757|  201700.0000kb|    632.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00270934) enter
000001.716|  211800.0000kb|  10100.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.728|  212460.0000kb|    660.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000002.425|  229496.0000kb|  17036.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000002.425|  229496.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.170/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000002.425|  229496.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000002.426|  229496.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.170/deploy/data/menu/IMEConfig.xml".
000002.426|  229500.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.170/deploy/data/menu/IMEConfig.xml (from file (null))
