--- Log started at Thu Aug 02 21:48:59 2012

000000.000|   13532.0000kb|  13532.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.369|  196212.0000kb| 182680.0000kb added| ALWAYS| Global Log Level set to WARN
000000.369|  196236.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.144 (Jul 31 2012/14:03:17) [PUBLIC] <__MAIN__>
000000.402|  199896.0000kb|   3660.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.185/deploy/LolClient.exe" "216.133.234.76 5149 SUwt8ezwqcYjAVQrf+4o8A== <id_removed>"
000000.403|  199900.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.405|  200032.0000kb|    132.0000kb added| ALWAYS| Maestro Init
000000.481|  200212.0000kb|    180.0000kb added| ALWAYS| Maestro completed init
000000.493|  201276.0000kb|   1064.0000kb added| ALWAYS| StartSession called
000000.493|  201284.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.494|  201316.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.494|  201316.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.497|  201932.0000kb|    616.0000kb added| ALWAYS| r3dRenderLayer::Init(0x015105b8) enter
000000.525|  219836.0000kb|  17904.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.538|  220640.0000kb|    804.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.369|  238084.0000kb|  17444.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.369|  238084.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.369|  238084.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.369|  238084.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml".
000001.369|  238088.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml (from file (null))
000001.592|  239216.0000kb|   1128.0000kb added| ALWAYS| Connected
000001.592|  239248.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001bdddd91
000001.592|  239248.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.592|  239248.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.592|  239248.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.592|  239248.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.593|  239252.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2311
000001.593|  239252.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000001.593|  239252.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.594|  239264.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.185\deploy\preferences\
000001.594|  239272.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.594|  239272.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.594|  239272.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.594|  239272.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000001.594|  239272.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
