--- Log started at Mon Aug 06 20:20:16 2012

000000.000|   13488.0000kb|  13488.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.404|  196200.0000kb| 182712.0000kb added| ALWAYS| Global Log Level set to WARN
000000.405|  196232.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 1.0.0.144 (Jul 31 2012/14:03:17) [PUBLIC] <__MAIN__>
000000.657|  199948.0000kb|   3716.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.186/deploy/LolClient.exe" "216.133.234.90 5132 DL6pM4OJxyzbZDxqVf/ufQ== <id_removed>"
000000.657|  199952.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.660|  200064.0000kb|    112.0000kb added| ALWAYS| Maestro Init
000001.186|  200704.0000kb|    640.0000kb added| ALWAYS| Maestro completed init
000001.198|  201740.0000kb|   1036.0000kb added| ALWAYS| StartSession called
000001.198|  201740.0000kb|      0.0000kb added| ALWAYS| Started Init event arguments
000001.198|  201764.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000001.198|  201764.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000001.201|  202400.0000kb|    636.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00850890) enter
000001.638|  212024.0000kb|   9624.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.650|  212740.0000kb|    716.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.912|  217860.0000kb|   5120.0000kb added| ALWAYS| Physical memory: 8589934592
000001.912|  217860.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.912|  217860.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.912|  217860.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.912|  217864.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.912|  217868.0000kb|      4.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.912|  217868.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.379|  230184.0000kb|  12316.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000002.379|  230184.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000002.379|  230184.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000002.379|  230184.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml".
000002.379|  230188.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.172/deploy/data/menu/IMEConfig.xml (from file (null))
000002.614|  231312.0000kb|   1124.0000kb added| ALWAYS| Connected
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Received client ID
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2311
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.615|  231312.0000kb|      0.0000kb added| ALWAYS| Started Init render
000002.616|  231324.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.186\deploy\preferences\
000002.616|  231336.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000002.616|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000002.616|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000002.617|  231336.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000002.617|  231340.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000002.617|  231340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000002.617|  231340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000002.617|  231340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000002.617|  231340.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000002.617|  231348.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000002.617|  231356.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000002.617|  231356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000002.617|  231356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000002.617|  231356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000002.618|  231356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000002.618|  231356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000002.618|  231360.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000002.618|  231360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000002.635|  231556.0000kb|    196.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000002.635|  231556.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000002.635|  231588.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.488|  264948.0000kb|  33360.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.557|  266348.0000kb|   1400.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.682|  271492.0000kb|   5144.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000004.753|  273036.0000kb|   1544.0000kb added| ALWAYS| Set focus to app
000004.753|  273036.0000kb|      0.0000kb added| ALWAYS| Input started
000004.767|  273224.0000kb|    188.0000kb added| ALWAYS| Query Status Req started
000004.777|  273248.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001c29d2fc
000005.942|  297444.0000kb|  24196.0000kb added| ALWAYS| Query Status Req ended
000005.943|  297444.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000006.042|  263440.0000kb| -34004.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.144 [PUBLIC]
000006.043|  263444.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000006.043|  263468.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000006.043|  263468.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000006.044|  263484.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000006.171|  268776.0000kb|   5292.0000kb added| ALWAYS| PlayGame Entered
000006.171|  268824.0000kb|     48.0000kb added| ALWAYS| CurRenderPipeline
000006.174|  268868.0000kb|     44.0000kb added| ALWAYS| CreateParticleSystemManager
000009.722|  406024.0000kb| 137156.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000009.722|  406024.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000009.722|  406024.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000009.722|  406024.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000009.722|  406024.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000009.722|  406024.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000009.722|  406024.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000009.722|  406024.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000010.880|  415032.0000kb|   9008.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000010.880|  415032.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000010.880|  415032.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000011.059|  421460.0000kb|   6428.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000011.103|  423664.0000kb|   2204.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000011.106|  424172.0000kb|    508.0000kb added| ALWAYS| GameWorld.Update()
000011.106|  424172.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000011.823|  438268.0000kb|  14096.0000kb added| ALWAYS| End Game Object Update
000012.818|  459232.0000kb|  20964.0000kb added| ALWAYS| PreloadGlobalEffects()
000012.818|  459232.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000012.917|  464748.0000kb|   5516.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000012.917|  464748.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/particles/aoe.tga", "rb") failed: No such file or directory
000012.917|  464748.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/particles/aoe.tga".
000012.917|  464748.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/particles/aoe.tga (from file r3dTexture::LoadRawTexture)
000012.917|  464748.0000kb|      0.0000kb added|  ERROR| Can not open file <data/particles/aoe.tga> *********
000012.917|  464748.0000kb|      0.0000kb added|  ERROR| Failed to load data/particles/aoe.tga
000012.917|  464748.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/particles/aoe.tga - not found. Dummy texture created.
000013.183|  494828.0000kb|  30080.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000013.183|  494828.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000013.297|  498984.0000kb|   4156.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000013.299|  499064.0000kb|     80.0000kb added| ALWAYS| FogOfWar::Init()
000013.300|  499184.0000kb|    120.0000kb added| ALWAYS| Gamma::CreateIAPI()
000013.306|  499192.0000kb|      8.0000kb added| ALWAYS| SimulationClock->Init()
000013.460|  523568.0000kb|  24376.0000kb added|   WARN| Flash swf data/menu/Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000014.003|  569988.0968kb|  46420.0000kb added|   WARN| Flash swf data\menu\Tooltips.swf does not have a valid _global.ContentWidth defaulting
000014.007|  570424.0000kb|    436.0000kb added|   WARN| Flash swf data\menu\RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000017.162|  623348.0968kb|  52924.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000017.163|  623348.0968kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/particles/color-fire_energy_01.tga", "rb") failed: No such file or directory
000017.163|  623348.0968kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000017.163|  623348.0968kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/particles/color-fire_energy_01.tga".
000017.163|  623348.0968kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/particles/color-fire_energy_01.tga (from file r3dTexture::LoadRawTexture)
000017.163|  623348.0968kb|      0.0000kb added|  ERROR| Can not open file <data/particles/color-fire_energy_01.tga> *********
000017.163|  623348.0968kb|      0.0000kb added|  ERROR| Failed to load data/particles/color-fire_energy_01.tga
000017.163|  623352.0000kb|      4.0000kb added|   WARN| r3dTexture EX: data/particles/color-fire_energy_01.tga - not found. Dummy texture created.
000020.646|  656624.0000kb|  33272.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000020.647|  656628.0968kb|      4.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000020.701|  672884.0968kb|  16256.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000020.718|  672884.0968kb|      0.0000kb added| ALWAYS| Start Main Loop
000020.718|  672884.0968kb|      0.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000020.718|  672896.0000kb|     12.0000kb added| ALWAYS| Waiting for all players to connect
000020.718|  672896.0000kb|      0.0000kb added| ALWAYS| Waiting for all players to connect end
000029.316|  689224.0000kb|  16328.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000046.949|  738816.0000kb|  49592.0000kb added| ALWAYS| PKT_S2C_StartSpawn
000046.949|  738816.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000046.969|  738916.0968kb|    100.0000kb added| ALWAYS| Hero Jax(2) created for Squatch
000046.971|  738920.0000kb|      4.0000kb added| ALWAYS| Spawning heroes/minions
000046.993|  739136.0000kb|    216.0000kb added| ALWAYS| Finished spawning heroes/minions
000047.494|  739136.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000047.508|  739140.0968kb|      4.0000kb added| ALWAYS| Hero MasterYi(2) created for Wholio
000048.066|  739696.0000kb|    556.0000kb added| ALWAYS| Creating Hero...
000048.333|  741700.0968kb|   2004.0000kb added| ALWAYS| Hero Cassiopeia(0) created for Eguchi
000048.838|  741700.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000048.845|  741700.0968kb|      0.0000kb added| ALWAYS| Hero Alistar(0) created for Rika Aoi
000048.845|  741700.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000048.862|  741704.0000kb|      4.0000kb added| ALWAYS| Hero Ashe(5) created for Kissaki
000049.387|  741704.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000049.411|  741772.0032kb|     68.0000kb added| ALWAYS| Hero Irelia(0) created for snow127
000049.917|  741772.0032kb|      0.0000kb added| ALWAYS| Creating Hero...
000049.943|  742084.0968kb|    312.0000kb added| ALWAYS| Hero Shen(0) created for Libfreq
000049.943|  742084.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000049.952|  742216.0000kb|    132.0000kb added| ALWAYS| Hero Morgana(0) created for Ajxela2
000050.462|  742216.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000050.479|  742740.0968kb|    524.0000kb added| ALWAYS| Hero Nidalee(0) created for JYWOF
000050.480|  742740.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000050.567|  744136.0000kb|   1396.0000kb added| ALWAYS| Hero Teemo(0) created for Burn Your Soul
000052.937|  748172.0032kb|   4036.0000kb added| ALWAYS| PKT_S2C_EndSpawn
000055.508|  748568.0000kb|    396.0000kb added| ALWAYS| PKT_StartGame
000056.407|  771056.0000kb|  22488.0000kb added| ALWAYS| PKT_StartGame Finished proccessing
000056.417|  771304.0000kb|    248.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Begin
000056.418|  771304.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Starting music and loading announcements
000056.418|  771304.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Update World
000056.430|  771628.0032kb|    324.0000kb added| ALWAYS| GAMESTATE_GAMELOOP GUIMenuProcess
000056.430|  771636.0968kb|      8.0000kb added| ALWAYS| GAMESTATE_GAMELOOP HUDProcess
000056.430|  771640.0000kb|      4.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Particle Simulation
000056.430|  771640.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FOWUpdate
000056.435|  771788.0032kb|    148.0000kb added| ALWAYS| GAMESTATE_GAMELOOP UpdateVis
000056.448|  772272.0000kb|    484.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000056.449|  772296.0000kb|     24.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000056.552|  782072.0000kb|   9776.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PostProcess
000056.552|  782124.0032kb|     52.0000kb added| ALWAYS| GAMESTATE_GAMELOOP ApplyGamma
000056.570|  782680.0000kb|    556.0000kb added| ALWAYS| GAMESTATE_GAMELOOP HUDDraw
000056.584|  784124.0032kb|   1444.0000kb added| ALWAYS| GAMESTATE_GAMELOOP GUIMenuDraw
000056.584|  784136.0000kb|     12.0000kb added|   WARN| FileManager::Open: Can't open data/menu/hud/hud1280x720.ini (from file C:\jenkins\workspace\New-Code-CI-__MAIN__\code\RiotCommon\source\File\ConfigFile\ConfigUtils.cpp)
000056.584|  784136.0000kb|      0.0000kb added|  ERROR| Failed to write value 1.0000 for GlobalScale:Globals in DATA\Menu\HUD\Hud1280x720.ini.
000056.584|  784136.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/menu/hud/hud1280x720.ini (from file C:\jenkins\workspace\New-Code-CI-__MAIN__\code\RiotCommon\source\File\ConfigFile\ConfigUtils.cpp)
000056.584|  784136.0000kb|      0.0000kb added|  ERROR| Failed to write value 1.0000 for Scale:Minimap in DATA\Menu\HUD\Hud1280x720.ini.
000056.585|  784136.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/menu/hud/hud1280x720.ini (from file C:\jenkins\workspace\New-Code-CI-__MAIN__\code\RiotCommon\source\File\ConfigFile\ConfigUtils.cpp)
000056.585|  784136.0000kb|      0.0000kb added|  ERROR| Failed to write value 1.0000 for Scale:MinimapFlipped in DATA\Menu\HUD\Hud1280x720.ini.
000056.585|  784136.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/menu/hud/hud1280x720.ini (from file C:\jenkins\workspace\New-Code-CI-__MAIN__\code\RiotCommon\source\File\ConfigFile\ConfigUtils.cpp)
