--- Log started at Wed Aug 08 11:57:31 2012

000000.000|   13584.0000kb|  13584.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.387|  196180.0000kb| 182596.0000kb added| ALWAYS| Global Log Level set to WARN
000000.387|  196212.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 1.0.0.144 (Aug  3 2012/16:48:09) [PUBLIC] <Releases/1_144_Diana>
000000.645|  199900.0000kb|   3688.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.187/deploy/LolClient.exe" "spectator 216.133.234.17:8088 eOv5qq3e9XLamzRGXQWFPDKoBtpkRi87 474537048 <id_removed>"
000000.654|  200880.0000kb|    980.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.654|  200892.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.654|  200896.0000kb|      4.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.654|  200896.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.654|  200900.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.898|  201492.0000kb|    592.0000kb added| ALWAYS| Maestro completed init
000000.898|  201492.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.904|  201688.0000kb|    196.0000kb added| ALWAYS| StartSession called
000000.904|  201700.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.905|  201736.0000kb|     36.0000kb added| ALWAYS| Waiting until connection...
000000.905|  201736.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.907|  202348.0000kb|    612.0000kb added| ALWAYS| r3dRenderLayer::Init(0x011b0850) enter
000000.934|  220172.0000kb|  17824.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.947|  220880.0000kb|    708.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.755|  238056.0000kb|  17176.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.755|  238056.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.755|  238056.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.755|  238056.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml".
000001.755|  238060.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml (from file (null))
000001.793|  239100.0000kb|   1040.0000kb added| ALWAYS| Sleeping
000001.845|  239292.0000kb|    192.0000kb added| ALWAYS| Physical memory: 8589934592
000001.845|  239292.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.845|  239292.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.845|  239292.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.845|  239296.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2320
000001.845|  239296.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.845|  239296.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.893|  239256.0000kb|    -40.0000kb added| ALWAYS| Start processing App Update
000001.893|  239264.0000kb|      8.0000kb added| ALWAYS| End processing App Update
000001.893|  239264.0000kb|      0.0000kb added| ALWAYS| Sleeping
000001.993|  239264.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.993|  239264.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000001.993|  239264.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.093|  239264.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
