--- Log started at Sat Aug 11 16:40:28 2012

000000.000|   13592.0000kb|  13592.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.392|  196048.0000kb| 182456.0000kb added| ALWAYS| Global Log Level set to WARN
000000.393|  196096.0000kb|     48.0000kb added| ALWAYS| Build Version: Version 1.0.0.144 (Aug  3 2012/16:48:09) [PUBLIC] <Releases/1_144_Diana>
000000.433|  199468.0000kb|   3372.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.187/deploy/LolClient.exe" "216.133.234.132 5118 oyzXPdi+jbFzDD+I2q+K7w== <id_removed>"
000000.434|  199472.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.436|  199596.0000kb|    124.0000kb added| ALWAYS| Maestro Init
000000.579|  200236.0000kb|    640.0000kb added| ALWAYS| Maestro completed init
000000.593|  201268.0000kb|   1032.0000kb added| ALWAYS| StartSession called
000000.593|  201280.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.593|  201312.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.593|  201312.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.597|  201932.0000kb|    620.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0009064e) enter
000000.622|  209860.0000kb|   7928.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.636|  210568.0000kb|    708.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.465|  227736.0000kb|  17168.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.465|  227736.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.465|  227736.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.466|  227736.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml".
000001.466|  227740.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml (from file (null))
000001.666|  230736.0000kb|   2996.0000kb added| ALWAYS| Physical memory: 8589934592
000001.666|  230736.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.666|  230736.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.666|  230736.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.667|  230740.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000001.667|  230740.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.667|  230740.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.689|  230668.0000kb|    -72.0000kb added| ALWAYS| Connected
000001.689|  230700.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001c8719fc
000001.689|  230700.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.689|  230700.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.689|  230700.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.689|  230700.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.689|  230700.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.690|  230700.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.690|  230700.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.690|  230700.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.690|  230700.0000kb|      0.0000kb added| ALWAYS| Started Init render
000001.690|  230712.0000kb|     12.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.187\deploy\preferences\
000001.690|  230720.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000001.690|  230720.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000001.690|  230724.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000001.690|  230724.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000001.690|  230724.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000001.690|  230724.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000001.690|  230724.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000001.691|  230732.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000001.691|  230740.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000001.691|  230740.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000001.691|  230740.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000001.691|  230740.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000001.691|  230740.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000001.691|  230740.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000001.691|  230744.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000001.691|  230744.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000001.695|  230936.0000kb|    192.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000001.695|  230936.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000001.695|  230968.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.476|  260096.0000kb|  29128.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.532|  261488.0000kb|   1392.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.657|  266588.0000kb|   5100.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000004.727|  268096.0000kb|   1508.0000kb added| ALWAYS| Set focus to app
000004.727|  268096.0000kb|      0.0000kb added| ALWAYS| Input started
000004.741|  268140.0000kb|     44.0000kb added| ALWAYS| Query Status Req started
000004.851|  268164.0000kb|     24.0000kb added| ALWAYS| Query Status Req ended
000004.851|  268164.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000004.951|  268168.0000kb|      4.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.144 [PUBLIC]
000004.952|  268172.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000004.952|  268196.0000kb|     24.0000kb added| ALWAYS| netUID: 0 defaultname
000004.952|  268196.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000004.955|  268212.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000005.088|  273396.0000kb|   5184.0000kb added| ALWAYS| PlayGame Entered
000005.088|  273732.0000kb|    336.0000kb added| ALWAYS| CurRenderPipeline
000005.112|  282292.0000kb|   8560.0000kb added| ALWAYS| CreateParticleSystemManager
000013.999|  431804.0000kb| 149512.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000013.999|  431804.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/items/icons2d/annieincinerate.dds", "rb") failed: No such file or directory
000013.999|  431804.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000013.999|  431804.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/items/icons2d/annieincinerate.dds".
000013.999|  431804.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/items/icons2d/annieincinerate.dds (from file r3dTexture::LoadRawTexture)
000013.999|  431804.0000kb|      0.0000kb added|  ERROR| Can not open file <data/items/icons2d/annieincinerate.dds> *********
000013.999|  431804.0000kb|      0.0000kb added|  ERROR| Failed to load data/items/icons2d/annieincinerate.dds
000013.999|  431804.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/items/icons2d/annieincinerate.dds - not found. Dummy texture created.
000015.504|  439016.0000kb|   7212.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000015.504|  439016.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000015.504|  439016.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000015.649|  444984.0000kb|   5968.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000015.694|  447180.0000kb|   2196.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000015.696|  447444.0000kb|    264.0000kb added| ALWAYS| GameWorld.Update()
000015.696|  447444.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000016.982|  461712.0000kb|  14268.0000kb added| ALWAYS| End Game Object Update
000018.135|  483648.0000kb|  21936.0000kb added| ALWAYS| PreloadGlobalEffects()
000018.135|  483648.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000018.248|  488972.0000kb|   5324.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000018.248|  488972.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("data/particles/aoe.tga", "rb") failed: No such file or directory
000018.248|  488972.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000018.248|  488972.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "data/particles/aoe.tga".
000018.248|  488972.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open data/particles/aoe.tga (from file r3dTexture::LoadRawTexture)
000018.248|  488972.0000kb|      0.0000kb added|  ERROR| Can not open file <data/particles/aoe.tga> *********
000018.248|  488972.0000kb|      0.0000kb added|  ERROR| Failed to load data/particles/aoe.tga
000018.248|  488972.0000kb|      0.0000kb added|   WARN| r3dTexture EX: data/particles/aoe.tga - not found. Dummy texture created.
000018.525|  519088.0000kb|  30116.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000018.525|  519088.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000018.643|  523388.0000kb|   4300.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000018.645|  523504.0000kb|    116.0000kb added| ALWAYS| FogOfWar::Init()
