--- Log started at Tue Aug 14 23:56:37 2012

000000.000|   13564.0000kb|  13564.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.400|  196004.0000kb| 182440.0000kb added| ALWAYS| Global Log Level set to WARN
000000.400|  196044.0000kb|     40.0000kb added| ALWAYS| Build Version: Version 1.0.0.144 (Aug  3 2012/16:48:09) [PUBLIC] <Releases/1_144_Diana>
000000.432|  199564.0000kb|   3520.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.187/deploy/LolClient.exe" "64.7.194.97 5104 ujedL0r+BTydIbZlNSqNzA== <id_removed>"
000000.432|  199568.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.435|  199692.0000kb|    124.0000kb added| ALWAYS| Maestro Init
000000.632|  200324.0000kb|    632.0000kb added| ALWAYS| Maestro completed init
000000.644|  201364.0000kb|   1040.0000kb added| ALWAYS| StartSession called
000000.644|  201372.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.644|  201404.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.644|  201404.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.647|  202000.0000kb|    596.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001e06c2) enter
000000.678|  219740.0000kb|  17740.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.690|  220452.0000kb|    712.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.516|  237624.0000kb|  17172.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.516|  237624.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.516|  237624.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.516|  237624.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml".
000001.516|  237628.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.174/deploy/data/menu/IMEConfig.xml (from file (null))
000001.663|  239008.0000kb|   1380.0000kb added| ALWAYS| Physical memory: 8589934592
000001.663|  239008.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.664|  239008.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.664|  239008.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.664|  239012.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2303
000001.664|  239012.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.664|  239012.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.741|  238940.0000kb|    -72.0000kb added| ALWAYS| Connected
000001.741|  238940.0000kb|      0.0000kb added| ALWAYS| Received client ID
000001.741|  238940.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.741|  238940.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.741|  238940.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.741|  238940.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
