--- Log started at Wed Aug 15 17:51:49 2012

000000.000|   13364.0000kb|  13364.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.361|  196276.0000kb| 182912.0000kb added| ALWAYS| Global Log Level set to WARN
000000.361|  196300.0000kb|     24.0000kb added| ALWAYS| Build Version: Version 1.0.0.145 (Aug 10 2012/15:28:56) [PUBLIC] <__MAIN__>
000000.388|  199660.0000kb|   3360.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.388|  199660.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.388|  199660.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.388|  199660.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.388|  199664.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.388|  199664.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.388|  199700.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.190/deploy/LolClient.exe" "spectator spectator.na.lol.riotgames.com:8088 WGjL4kFS1EXikJl9HIEBHHQKYvzMoTUe 483534524 <id_removed>"
000000.397|  200704.0000kb|   1004.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.397|  200716.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.397|  200716.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.397|  200716.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.397|  200720.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.557|  201172.0000kb|    452.0000kb added| ALWAYS| Maestro completed init
000000.557|  201172.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.562|  201404.0000kb|    232.0000kb added| ALWAYS| StartSession called
000000.562|  201408.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.563|  201432.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.563|  201432.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.565|  202056.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001103f8) enter
000000.592|  219860.0000kb|  17804.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
