--- Log started at Sun Aug 19 16:25:35 2012

000000.000|   13476.0000kb|  13476.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.402|  196440.0000kb| 182964.0000kb added| ALWAYS| Global Log Level set to WARN
000000.402|  196456.0000kb|     16.0000kb added| ALWAYS| Build Version: Version 1.0.0.145 (Aug 10 2012/15:28:56) [PUBLIC] <__MAIN__>
000000.435|  200784.0000kb|   4328.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.435|  200784.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.435|  200784.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.435|  200784.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.435|  200788.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.435|  200788.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.435|  200824.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.190/deploy/LolClient.exe" "64.7.194.185 5109 ASxgN21Iod86xJr37zx/Rg== <id_removed>"
000000.435|  200836.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.437|  200940.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.609|  201352.0000kb|    412.0000kb added| ALWAYS| Maestro completed init
000000.624|  202500.0000kb|   1148.0000kb added| ALWAYS| StartSession called
000000.624|  202508.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.624|  202540.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.624|  202540.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.627|  203164.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00a10726) enter
000000.678|  220888.0000kb|  17724.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
