--- Log started at Tue Aug 21 14:44:03 2012

000000.000|   13440.0000kb|  13440.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.437|  196384.0000kb| 182944.0000kb added| ALWAYS| Global Log Level set to WARN
000000.437|  196392.0000kb|      8.0000kb added| ALWAYS| Build Version: Version 1.0.0.145 (Aug 18 2012/15:23:04) [PUBLIC] <Releases/1_145_Rengar>
000000.472|  200740.0000kb|   4348.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.472|  200740.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.472|  200740.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.472|  200740.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.472|  200744.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.472|  200744.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.472|  200792.0000kb|     48.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.193/deploy/LolClient.exe" "spectator 216.133.234.17:8088 LyjYZPk3l5tAtPo7S4moLOaCiX/tkaIW 489797535 <id_removed>"
000000.482|  201808.0000kb|   1016.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.482|  201820.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.482|  201820.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.482|  201820.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.482|  201828.0000kb|      8.0000kb added| ALWAYS| Maestro Init
000000.693|  201948.0000kb|    120.0000kb added| ALWAYS| Maestro completed init
000000.693|  201948.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.710|  202192.0000kb|    244.0000kb added| ALWAYS| StartSession called
000000.710|  202204.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.711|  202392.0000kb|    188.0000kb added| ALWAYS| Waiting until connection...
000000.711|  202392.0000kb|      0.0000kb added| ALWAYS| InitRender() enter
000000.714|  203016.0000kb|    624.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00820626) enter
000000.775|  220916.0000kb|  17900.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000000.792|  221760.0000kb|    844.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000001.835|  238944.0000kb|  17184.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000001.835|  238944.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.179/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000001.835|  238944.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000001.835|  238944.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.179/deploy/data/menu/IMEConfig.xml".
000001.835|  238944.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.179/deploy/data/menu/IMEConfig.xml (from file (null))
000001.876|  239932.0000kb|    988.0000kb added| ALWAYS| Sleeping
000001.976|  239932.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000001.976|  239944.0000kb|     12.0000kb added| ALWAYS| End processing App Update
000001.976|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.076|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.076|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.076|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.176|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.176|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.176|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.276|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.276|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.276|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.376|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.376|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.376|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.476|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.476|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.476|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.576|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.576|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.576|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.676|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.676|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.676|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.776|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.776|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.776|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.876|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.876|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.876|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000002.976|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000002.976|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000002.976|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.076|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.076|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.076|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.176|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.276|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.376|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.476|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| End processing App Update
000003.576|  239944.0000kb|      0.0000kb added| ALWAYS| Sleeping
000003.661|  240224.0000kb|    280.0000kb added| ALWAYS| Physical memory: 8589934592
