--- Log started at Wed Sep 05 22:01:49 2012

000000.000|   13540.0000kb|  13540.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.382|  196476.0000kb| 182936.0000kb added| ALWAYS| Global Log Level set to WARN
000000.382|  196488.0000kb|     12.0000kb added| ALWAYS| Build Version: Version 1.0.0.146 (Aug 29 2012/11:24:47) [PUBLIC] <__MAIN__>
000000.410|  199820.0000kb|   3332.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.411|  199820.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.411|  199820.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.411|  199820.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.411|  199824.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.411|  199824.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.411|  199864.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.198/deploy/LolClient.exe" "216.133.234.193 5176 a7rO4wowXFgSQGFKjKPLBw== <id_removed>"
000000.412|  199880.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.413|  199992.0000kb|    112.0000kb added| ALWAYS| Maestro Init
000000.415|  200168.0000kb|    176.0000kb added| ALWAYS| Maestro completed init
000000.440|  201248.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.440|  201256.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.441|  201284.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.441|  201284.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.441|  201284.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.441|  201284.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.441|  201288.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.441|  201288.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.441|  201292.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.443|  201892.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00090532) enter
000000.460|  211428.0000kb|   9536.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.553|  215976.0000kb|   4548.0000kb added| ALWAYS| Physical memory: 8589934592
000001.553|  215976.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.553|  215976.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.553|  215976.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.554|  215976.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2334
000001.554|  215976.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.554|  215976.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.911|  218920.0000kb|   2944.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.630|  236108.0000kb|  17188.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000003.630|  236108.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.182/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
