--- Log started at Sat Sep 08 21:54:46 2012

000000.000|   13536.0000kb|  13536.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.410|  196448.0000kb| 182912.0000kb added| ALWAYS| Global Log Level set to WARN
000000.410|  196480.0000kb|     32.0000kb added| ALWAYS| Build Version: Version 1.0.0.146 (Aug 29 2012/11:24:47) [PUBLIC] <__MAIN__>
000000.442|  199872.0000kb|   3392.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.442|  199872.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.442|  199872.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.442|  199872.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.442|  199876.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.442|  199876.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.442|  199916.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.198/deploy/LolClient.exe" "216.133.234.153 5127 H0XFOLjurtM4SaTRQvl8GA== <id_removed>"
000000.443|  199932.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.445|  200052.0000kb|    120.0000kb added| ALWAYS| Maestro Init
000000.448|  200216.0000kb|    164.0000kb added| ALWAYS| Maestro completed init
000000.467|  201288.0000kb|   1072.0000kb added| ALWAYS| StartSession called
000000.467|  201300.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.468|  201328.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.468|  201328.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.468|  201328.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.468|  201328.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.468|  201332.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.468|  201332.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.468|  201336.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
