--- Log started at Sun Sep 09 00:23:22 2012

000000.000|   13332.0000kb|  13332.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.451|  196516.0000kb| 183184.0000kb added| ALWAYS| Global Log Level set to WARN
000000.451|  196544.0000kb|     28.0000kb added| ALWAYS| Build Version: Version 1.0.0.146 (Aug 29 2012/11:24:47) [PUBLIC] <__MAIN__>
000000.479|  199928.0000kb|   3384.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.479|  199928.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.479|  199928.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.479|  199928.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.480|  199932.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.480|  199932.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.480|  199972.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.198/deploy/LolClient.exe" "216.133.234.193 5138 3QT6SYbYcheu6sMDNoUrcw== <id_removed>"
000000.481|  199988.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.482|  200108.0000kb|    120.0000kb added| ALWAYS| Maestro Init
000000.485|  200268.0000kb|    160.0000kb added| ALWAYS| Maestro completed init
000000.521|  201364.0000kb|   1096.0000kb added| ALWAYS| StartSession called
000000.521|  201372.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.522|  201400.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.522|  201400.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.522|  201400.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.522|  201400.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.522|  201404.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.522|  201404.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.522|  201408.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.524|  202024.0000kb|    616.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0069062c) enter
000000.544|  211568.0000kb|   9544.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.638|  215968.0000kb|   4400.0000kb added| ALWAYS| Physical memory: 8589934592
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.638|  215968.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.021|  218952.0000kb|   2984.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.766|  236100.0000kb|  17148.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000003.766|  236100.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.182/deploy/data/menu/IMEConfig.xml", "rb") failed: No such file or directory
000003.766|  236100.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000003.766|  236100.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.182/deploy/data/menu/IMEConfig.xml".
000003.766|  236100.0000kb|      0.0000kb added|   WARN| FileManager::Open: Can't open C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.182/deploy/data/menu/IMEConfig.xml (from file (null))
000003.771|  236280.0000kb|    180.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.198\deploy\preferences\
000003.771|  236288.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.771|  236288.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.771|  236292.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.771|  236308.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.771|  236308.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.771|  236308.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.771|  236308.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.771|  236308.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.771|  236308.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.772|  236312.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.772|  236312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.772|  236312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.772|  236312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.772|  236312.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
