--- Log started at Tue Sep 11 17:18:49 2012

000000.000|   13536.0000kb|  13536.0000kb added| ALWAYS| RADS::Common::Cider::Create: Running on Windows
000000.468|  196452.0000kb| 182916.0000kb added| ALWAYS| Global Log Level set to WARN
000000.468|  196520.0000kb|     68.0000kb added| ALWAYS| Build Version: Version 1.0.0.146 (Aug 29 2012/11:24:47) [PUBLIC] <__MAIN__>
000000.497|  199912.0000kb|   3392.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: No such file or directory
000000.497|  199912.0000kb|      0.0000kb added|  ERROR| RADS::Common::CRT::fopen_s: ("ClientZips.txt", "rt") failed: No such file or directory
000000.497|  199912.0000kb|      0.0000kb added|  ERROR| RADS::API::Impl::FileUnmanaged::FileUnmanaged: The handle that was passed to the API has been either invalidated or closed.
000000.497|  199912.0000kb|      0.0000kb added|   NONE| RADS::API::Impl::FileUnmanaged::FileUnmanaged: Failed to open "ClientZips.txt".
000000.497|  199916.0000kb|      4.0000kb added|   WARN| FileManager::Open: Can't open ClientZips.txt (from file Riot::File::InputFileStream::open)
000000.497|  199916.0000kb|      0.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.497|  199956.0000kb|     40.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.198/deploy/LolClient.exe" "216.133.234.99 5228 4FO7MZNy1kynAkUuV8FQeg== <id_removed>"
000000.498|  199972.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.500|  200088.0000kb|    116.0000kb added| ALWAYS| Maestro Init
000000.503|  200252.0000kb|    164.0000kb added| ALWAYS| Maestro completed init
000000.512|  201352.0000kb|   1100.0000kb added| ALWAYS| StartSession called
000000.512|  201360.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.513|  201388.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.513|  201388.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.513|  201388.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.513|  201388.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.513|  201392.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.513|  201392.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.513|  201396.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.515|  202000.0000kb|    604.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00b100ee) enter
000000.533|  211532.0000kb|   9532.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.627|  216032.0000kb|   4500.0000kb added| ALWAYS| Physical memory: 8589934592
000001.627|  216032.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.627|  216032.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.627|  216032.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.628|  216036.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2320
000001.628|  216036.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.628|  216036.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
