--- Log started at Thu Sep 13 15:08:24 2012

000000.012|  197028.0000kb| 197028.0000kb added| ALWAYS| Global Log Level set to WARN
000000.012|  197032.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 11 2012/18:14:38) [PUBLIC] <__MAIN__>
000000.157|  199312.0000kb|   2280.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.158|  199348.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.201/deploy/LolClient.exe" "216.133.234.181 5131 mSgBzU0mMEBmSQjqBj+hNQ== <id_removed>"
000000.159|  199352.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.160|  199464.0000kb|    112.0000kb added| ALWAYS| Maestro Init
000000.177|  199636.0000kb|    172.0000kb added| ALWAYS| Maestro completed init
000000.211|  200716.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.211|  200728.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.211|  200760.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.211|  200760.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.211|  200760.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.211|  200760.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.211|  200764.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2319
000000.211|  200764.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.211|  200768.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.238|  201364.0000kb|    596.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001303b8) enter
000000.255|  210844.0000kb|   9480.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.161|  223952.0000kb|  13108.0000kb added| ALWAYS| Physical memory: 8589934592
