--- Log started at Tue Sep 18 11:53:48 2012

000000.048|  197692.0000kb| 197692.0000kb added| ALWAYS| Global Log Level set to WARN
000000.048|  197696.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 11 2012/18:14:38) [PUBLIC] <__MAIN__>
000000.079|  199512.0000kb|   1816.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.079|  199548.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.203/deploy/LolClient.exe" "spectator 216.133.234.17:8088 hAfRK2fmRwBsKCB1TKeQYDmJVCYhKLoq 520054913 <id_removed>"
000000.086|  200540.0000kb|    992.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.086|  200552.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.086|  200552.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.087|  200552.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.087|  200556.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.089|  200688.0000kb|    132.0000kb added| ALWAYS| Maestro completed init
000000.089|  200688.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.094|  200900.0000kb|    212.0000kb added| ALWAYS| StartSession called
000000.094|  200908.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.095|  200960.0000kb|     52.0000kb added| ALWAYS| Waiting until connection...
000000.095|  200960.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.095|  200960.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.095|  200960.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.095|  200964.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.095|  200964.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.095|  200968.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.097|  201556.0000kb|    588.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001a06f0) enter
000000.115|  211160.0000kb|   9604.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.158|  215188.0000kb|   4028.0000kb added| ALWAYS| Physical memory: 8589934592
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.158|  215188.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.529|  218284.0000kb|   3096.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.216|  235528.0000kb|  17244.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.203\deploy\preferences\
000003.216|  235544.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.216|  235544.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.216|  235552.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.216|  235560.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.216|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.217|  235560.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.220|  235644.0000kb|     84.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.220|  235644.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.220|  235676.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.021|  255452.0000kb|  19776.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.063|  257176.0000kb|   1724.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.164|  262228.0000kb|   5052.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.9
000005.200|  262424.0000kb|    196.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.276|  264636.0000kb|   2212.0000kb added| ALWAYS| Sleeping
000005.306|  264672.0000kb|     36.0000kb added| ALWAYS| Replay metadata retrieved.
000005.306|  264672.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.368|  264676.0000kb|      4.0000kb added| ALWAYS| Start processing App Update
000005.369|  264684.0000kb|      8.0000kb added| ALWAYS| End processing App Update
000005.369|  264684.0000kb|      0.0000kb added| ALWAYS| Replay ready.
000005.371|  264700.0000kb|     16.0000kb added| ALWAYS| Set focus to app
000005.371|  264700.0000kb|      0.0000kb added| ALWAYS| Input started
000005.405|  264824.0000kb|    124.0000kb added| ALWAYS| Waiting for server response...
000005.419|  264824.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.428|  264824.0000kb|      0.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.599|  265948.0000kb|   1124.0000kb added| ALWAYS| **** Request chunk 1
000005.599|  265948.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000005.599|  265948.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000005.599|  265980.0000kb|     32.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001eff6881
000005.600|  266004.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.147 [PUBLIC]
000005.600|  266004.0000kb|      0.0000kb added| ALWAYS| Started Map Map1
000005.600|  266032.0000kb|     28.0000kb added| ALWAYS| netUID: ffffffff defaultname
