--- Log started at Wed Sep 19 20:24:23 2012

000000.001|  195808.0000kb| 195808.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  195892.0000kb|     84.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 18 2012/11:19:48) [PUBLIC] <Releases/1_147_Syndra>
000000.030|  199212.0000kb|   3320.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.030|  199240.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.203/deploy/LolClient.exe" "64.7.194.216 5165 9OaDw8bWp3sGDnm/04Fx7w== <id_removed>"
000000.031|  199244.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.033|  199348.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.035|  199536.0000kb|    188.0000kb added| ALWAYS| Maestro completed init
000000.044|  200588.0000kb|   1052.0000kb added| ALWAYS| StartSession called
000000.044|  200596.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.045|  200624.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.045|  200624.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.045|  200624.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.045|  200624.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.045|  200628.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2320
000000.045|  200628.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.045|  200632.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.047|  201224.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x007d06da) enter
000000.075|  218936.0000kb|  17712.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.180|  223200.0000kb|   4264.0000kb added| ALWAYS| Physical memory: 8589934592
000001.180|  223200.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
