--- Log started at Thu Sep 20 19:59:34 2012

000000.004|  195696.0000kb| 195696.0000kb added| ALWAYS| Global Log Level set to WARN
000000.004|  195772.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 18 2012/11:19:48) [PUBLIC] <Releases/1_147_Syndra>
000000.061|  199244.0000kb|   3472.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.061|  199272.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.203/deploy/LolClient.exe" "spectator 216.133.234.17:8088 hMh1FugnG3sCzPEYL2nB0rMA2wYVOd5I 522470304 <id_removed>"
000000.071|  200264.0000kb|    992.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.071|  200276.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.071|  200276.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.072|  200276.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.072|  200276.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.075|  200396.0000kb|    120.0000kb added| ALWAYS| Maestro completed init
000000.075|  200400.0000kb|      4.0000kb added| ALWAYS| Replay mode
000000.082|  200632.0000kb|    232.0000kb added| ALWAYS| StartSession called
000000.082|  200652.0000kb|     20.0000kb added| ALWAYS| Started Init event arguments
000000.083|  200680.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.083|  200680.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.083|  200680.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.083|  200680.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.083|  200684.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2328
000000.083|  200684.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.083|  200688.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.086|  201288.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x006e0a16) enter
000000.115|  210768.0000kb|   9480.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.268|  214456.0000kb|   3688.0000kb added| ALWAYS| Physical memory: 8589934592
000001.268|  214456.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.268|  214456.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.269|  214456.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.269|  214456.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2328
000001.269|  214456.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.269|  214456.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.583|  217972.0000kb|   3516.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000004.619|  235220.0000kb|  17248.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.203\deploy\preferences\
000004.619|  235236.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000004.619|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000004.619|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000004.619|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000004.620|  235236.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000004.620|  235244.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000004.620|  235252.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000004.620|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000004.621|  235252.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000004.625|  235340.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000004.625|  235344.0000kb|      4.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000004.625|  235376.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.197|  241592.0000kb|   6216.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.9
000005.329|  241648.0000kb|     56.0000kb added| ALWAYS| Replay metadata retrieved.
000005.329|  241648.0000kb|      0.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.486|  241656.0000kb|      8.0000kb added| ALWAYS| ---- Waiting to fetch 10000
000006.107|  269492.0000kb|  27836.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.177|  271192.0000kb|   1700.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.387|  276324.0000kb|   5132.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
