--- Log started at Fri Sep 21 15:39:44 2012

000000.104|  197160.0000kb| 197160.0000kb added| ALWAYS| Global Log Level set to WARN
000000.104|  197164.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 18 2012/11:19:48) [PUBLIC] <Releases/1_147_Syndra>
000000.494|  198576.0000kb|   1412.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.507|  198604.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.203/deploy/LolClient.exe" "64.7.194.206 5142 K/oBEm74UMURNQAo7MY93Q== <id_removed>"
000000.510|  198624.0000kb|     20.0000kb added| ALWAYS| Started System Init
000000.524|  198928.0000kb|    304.0000kb added| ALWAYS| Maestro Init
000000.533|  199260.0000kb|    332.0000kb added| ALWAYS| Maestro completed init
000000.556|  200312.0000kb|   1052.0000kb added| ALWAYS| StartSession called
000000.556|  200320.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.567|  200348.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.567|  200348.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.567|  200348.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.567|  200348.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.567|  200348.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000000.567|  200348.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.567|  200352.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.667|  200940.0000kb|    588.0000kb added| ALWAYS| r3dRenderLayer::Init(0x000c09d0) enter
000001.011|  208836.0000kb|   7896.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.620|  212692.0000kb|   3856.0000kb added| ALWAYS| Physical memory: 8589934592
000001.620|  212692.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.621|  212692.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.621|  212692.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.621|  212692.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.621|  212692.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.621|  212692.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000003.596|  215908.0000kb|   3216.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000004.544|  233156.0000kb|  17248.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.203\deploy\preferences\
000004.544|  233172.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000004.544|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000004.545|  233172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000004.545|  233180.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000004.545|  233188.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000004.545|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000004.545|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000004.545|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000004.545|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000004.546|  233188.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
