--- Log started at Mon Sep 24 16:06:55 2012

000000.033|  201716.0000kb| 201716.0000kb added| ALWAYS| Global Log Level set to WARN
000000.033|  201736.0000kb|     20.0000kb added| ALWAYS| Build Version: Version 1.0.0.147 (Sep 22 2012/07:37:57) [PUBLIC] <Releases/1_147_Syndra>
000000.125|  205096.0000kb|   3360.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.125|  205096.0000kb|      0.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.203/deploy/LolClient.exe" "216.133.234.239 5149 B747EJNJI2dLmj1wvYypRA== <id_removed>"
000000.127|  205100.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.128|  205188.0000kb|     88.0000kb added| ALWAYS| Maestro Init
000000.208|  205452.0000kb|    264.0000kb added| ALWAYS| Maestro completed init
000000.247|  207416.0000kb|   1964.0000kb added| ALWAYS| StartSession called
000000.247|  207420.0000kb|      4.0000kb added| ALWAYS| Started Init event arguments
000000.247|  207428.0000kb|      8.0000kb added| ALWAYS| Waiting until connection...
000000.247|  207428.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.247|  207428.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.247|  207428.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.247|  207432.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.247|  207432.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.247|  207432.0000kb|      0.0000kb added| ALWAYS| InitRenderer() enter
000000.250|  208008.0000kb|    576.0000kb added| ALWAYS| r3dRenderLayer::Init(0x004a055a) enter
000000.586|  220912.0000kb|  12904.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.193|  223796.0000kb|   2884.0000kb added| ALWAYS| Physical memory: 8589934592
000001.193|  223796.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.193|  223796.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.193|  223796.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
