--- Log started at Sat Sep 29 10:49:28 2012

000000.001|  196176.0000kb| 196176.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  196280.0000kb|    104.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.036|  199564.0000kb|   3284.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.036|  199592.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.205/deploy/LolClient.exe" "spectator spectator.na.lol.riotgames.com:8088 GQvGFwXcyHcnRH58urgw2bgWkHxVKI5D 531494865 <id_removed>"
000000.108|  200892.0000kb|   1300.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.108|  200904.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.108|  200904.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.109|  200904.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.109|  200908.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.111|  201036.0000kb|    128.0000kb added| ALWAYS| Maestro completed init
000000.111|  201036.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.115|  201248.0000kb|    212.0000kb added| ALWAYS| StartSession called
000000.115|  201260.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.115|  201292.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.116|  201292.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.116|  201292.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.116|  201292.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.116|  201300.0000kb|      8.0000kb added| ALWAYS| Measured processor speed: 2321
000000.116|  201300.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.116|  201304.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.118|  201904.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x003a053a) enter
000000.135|  211512.0000kb|   9608.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.173|  215648.0000kb|   4136.0000kb added| ALWAYS| Physical memory: 8589934592
000001.173|  215648.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.173|  215648.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.173|  215648.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.173|  215648.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2286
