--- Log started at Sun Sep 30 13:19:55 2012

000000.001|  196160.0000kb| 196160.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  196240.0000kb|     80.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.038|  199548.0000kb|   3308.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.038|  199576.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.205/deploy/LolClient.exe" "spectator spectator.na.lol.riotgames.com:8088 bwgwdSxUajjgCKH2zgPoQG7Ee8zeKaXg 532945018 <id_removed>"
000000.048|  200544.0000kb|    968.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.048|  200556.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.048|  200556.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.049|  200556.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.049|  200560.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.053|  200696.0000kb|    136.0000kb added| ALWAYS| Maestro completed init
000000.053|  200696.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.129|  201408.0000kb|    712.0000kb added| ALWAYS| StartSession called
000000.129|  201420.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.130|  201444.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.130|  201444.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.130|  201444.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.130|  201444.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.130|  201448.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.130|  201448.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.130|  201452.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.132|  202044.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001f0618) enter
000000.148|  211636.0000kb|   9592.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.165|  215820.0000kb|   4184.0000kb added| ALWAYS| Physical memory: 8589934592
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.165|  215820.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.632|  218868.0000kb|   3048.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.364|  236352.0000kb|  17484.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.205\deploy\preferences\
000003.364|  236356.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.364|  236356.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.364|  236360.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.364|  236360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.364|  236360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.364|  236360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.364|  236360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.364|  236360.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.364|  236376.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.364|  236376.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.364|  236376.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
