--- Log started at Wed Oct 03 19:53:51 2012

000000.001|  196184.0000kb| 196184.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  196268.0000kb|     84.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.033|  199792.0000kb|   3524.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  199820.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.209/deploy/LolClient.exe" "216.133.234.193 5220 G58Q4cp9GH93o1jweeQXyA== <id_removed>"
000000.034|  199824.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.035|  199928.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.037|  200108.0000kb|    180.0000kb added| ALWAYS| Maestro completed init
000000.046|  201288.0000kb|   1180.0000kb added| ALWAYS| StartSession called
000000.046|  201296.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.046|  201320.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.046|  201320.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.046|  201320.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.046|  201320.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.046|  201324.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.046|  201324.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.046|  201328.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.048|  201928.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x005f062c) enter
000000.064|  211312.0000kb|   9384.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.193|  215988.0000kb|   4676.0000kb added| ALWAYS| Physical memory: 8589934592
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.193|  215988.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.552|  218932.0000kb|   2944.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.280|  236432.0000kb|  17500.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.209\deploy\preferences\
000003.280|  236436.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.280|  236436.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.280|  236440.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.281|  236440.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.281|  236440.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.281|  236440.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.281|  236440.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.281|  236440.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.281|  236456.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.281|  236456.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.281|  236456.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.281|  236456.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.281|  236456.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.281|  236456.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.281|  236460.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.281|  236460.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.284|  236548.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.284|  236548.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.284|  236580.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.632|  258056.0000kb|  21476.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.719|  259756.0000kb|   1700.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.846|  264880.0000kb|   5124.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.124|  266496.0000kb|   1616.0000kb added| ALWAYS| Connected
000005.124|  266520.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000001ff5f9ec
000005.124|  266520.0000kb|      0.0000kb added| ALWAYS| Received client ID
000005.125|  266388.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.125|  266388.0000kb|      0.0000kb added| ALWAYS| Input started
000005.158|  266724.0000kb|    336.0000kb added| ALWAYS| Query Status Req started
000005.278|  266748.0000kb|     24.0000kb added| ALWAYS| Query Status Req ended
000005.278|  266748.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.378|  266748.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.148 [PUBLIC]
000005.378|  266760.0000kb|     12.0000kb added| ALWAYS| Started Map Map1
000005.379|  266780.0000kb|     20.0000kb added| ALWAYS| netUID: 0 defaultname
000005.379|  266780.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.382|  266856.0000kb|     76.0000kb added| ALWAYS| PlayGame Started
000005.631|  269388.0000kb|   2532.0000kb added| ALWAYS| PlayGame Entered
000005.631|  269472.0000kb|     84.0000kb added| ALWAYS| CurRenderPipeline
000005.653|  277968.0000kb|   8496.0000kb added| ALWAYS| CreateParticleSystemManager
000006.732|  395032.0000kb| 117064.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000006.760|  395496.0000kb|    464.0000kb added|  ERROR| Assertion failed!

