--- Log started at Thu Oct 04 18:35:44 2012

000000.001|  196220.0000kb| 196220.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  196308.0000kb|     88.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.035|  199656.0000kb|   3348.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.035|  199684.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.209/deploy/LolClient.exe" "216.133.234.122 5218 oshcNJ+f5+mjsRvsmb2NZg== <id_removed>"
000000.036|  199688.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.037|  199792.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.042|  199968.0000kb|    176.0000kb added| ALWAYS| Maestro completed init
000000.050|  201052.0000kb|   1084.0000kb added| ALWAYS| StartSession called
000000.050|  201064.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.051|  201088.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.051|  201088.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.051|  201088.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.051|  201088.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.051|  201092.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.051|  201092.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.051|  201096.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.080|  201832.0000kb|    736.0000kb added| ALWAYS| r3dRenderLayer::Init(0x004e06a6) enter
000000.097|  211656.0000kb|   9824.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.160|  215888.0000kb|   4232.0000kb added| ALWAYS| Physical memory: 8589934592
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.160|  215888.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.579|  218896.0000kb|   3008.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.316|  236376.0000kb|  17480.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.209\deploy\preferences\
000003.316|  236380.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.316|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.317|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.317|  236380.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.317|  236384.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.317|  236384.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.317|  236384.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.317|  236384.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.317|  236384.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.317|  236384.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.317|  236400.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.317|  236400.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.317|  236400.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.317|  236400.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.317|  236400.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.317|  236400.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.317|  236404.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.317|  236404.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.325|  236520.0000kb|    116.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.325|  236520.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.325|  236552.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.714|  256296.0000kb|  19744.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.817|  257996.0000kb|   1700.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.963|  263060.0000kb|   5064.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.252|  264692.0000kb|   1632.0000kb added| ALWAYS| Connected
000005.252|  264716.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000020038ee5
000005.252|  264716.0000kb|      0.0000kb added| ALWAYS| Received client ID
000005.253|  264616.0000kb|   -100.0000kb added| ALWAYS| Set focus to app
000005.253|  264616.0000kb|      0.0000kb added| ALWAYS| Input started
000005.288|  264672.0000kb|     56.0000kb added| ALWAYS| Query Status Req started
000005.418|  264692.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000005.418|  264692.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.518|  264696.0000kb|      4.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.148 [PUBLIC]
000005.518|  264708.0000kb|     12.0000kb added| ALWAYS| Started Map Map1
000005.518|  264728.0000kb|     20.0000kb added| ALWAYS| netUID: 0 defaultname
000005.519|  264728.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.530|  264824.0000kb|     96.0000kb added| ALWAYS| PlayGame Started
000005.774|  267320.0000kb|   2496.0000kb added| ALWAYS| PlayGame Entered
000005.774|  267636.0000kb|    316.0000kb added| ALWAYS| CurRenderPipeline
000005.800|  276100.0000kb|   8464.0000kb added| ALWAYS| CreateParticleSystemManager
000006.861|  393300.0000kb| 117200.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000006.892|  393948.0000kb|    648.0000kb added|  ERROR| Assertion failed!

File: E:\jenkins\workspace\New-Code-CI-__MAIN__\code\HeroWars_clientServer\Sources\NewLogic\SpellData.cpp
Line: 218

Function: SpellData::LoadINI
Expression: !"Attempting to load a spell that doesn't exist!"...

000006.892|  393948.0000kb|      0.0000kb added|  ERROR| Assertion Description: General hard assert occurred, game may crash!
000010.051|  435936.0000kb|  41988.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000010.052|  435936.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000010.052|  435936.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000010.319|  445044.0000kb|   9108.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000010.384|  448136.0000kb|   3092.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000010.387|  448292.0000kb|    156.0000kb added| ALWAYS| GameWorld.Update()
000010.387|  448292.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000010.749|  462868.0000kb|  14576.0000kb added| ALWAYS| End Game Object Update
000011.048|  468088.0000kb|   5220.0000kb added| ALWAYS| PreloadGlobalEffects()
000011.048|  468088.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000011.467|  505644.0000kb|  37556.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000011.467|  505644.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000011.585|  509832.0000kb|   4188.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000011.587|  509864.0000kb|     32.0000kb added| ALWAYS| FogOfWar::Init()
000011.590|  509956.0000kb|     92.0000kb added| ALWAYS| Gamma::CreateIAPI()
000011.592|  509996.0000kb|     40.0000kb added| ALWAYS| SimulationClock->Init()
000011.762|  535480.0000kb|  25484.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentHeight defaulting
000011.762|  535480.0000kb|      0.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000011.821|  541684.0968kb|   6204.0000kb added|   WARN| Flash swf TipTracker.swf does not have a valid _global.ContentHeight defaulting
000011.825|  542752.0000kb|   1068.0000kb added|   WARN| Flash swf TipDialogue.swf does not have a valid _global.ContentHeight defaulting
000011.841|  545648.0000kb|   2896.0000kb added|   WARN| Flash swf UIHighlight.swf does not have a valid _global.ContentHeight defaulting
000011.843|  545996.0032kb|    348.0000kb added|   WARN| Flash swf ScoreCallOut.swf does not have a valid _global.ContentHeight defaulting
000011.886|  554116.0968kb|   8120.0000kb added|   WARN| Flash swf VictoryPointDisplay.swf does not have a valid _global.ContentHeight defaulting
000011.889|  554668.0032kb|    552.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000011.923|  560360.0000kb|   5692.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
000012.264|  581824.0000kb|  21464.0000kb added|   WARN| Flash swf QuestTracker.swf does not have a valid _global.ContentHeight defaulting
000012.275|  583088.0000kb|   1264.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentHeight defaulting
000012.276|  583096.0000kb|      8.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentWidth defaulting
000012.279|  583656.0000kb|    560.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentHeight defaulting
000012.279|  583656.0000kb|      0.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000018.385|  696804.0968kb| 113148.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
