--- Log started at Fri Oct 05 22:50:39 2012

000000.019|  199796.0000kb| 199796.0000kb added| ALWAYS| Global Log Level set to WARN
000000.019|  199800.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.065|  201132.0000kb|   1332.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.065|  201160.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.209/deploy/LolClient.exe" "216.133.234.56 5168 5RgQafWZT+rC2WOCVnSeIg== <id_removed>"
000000.066|  201164.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.068|  201268.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.072|  201616.0000kb|    348.0000kb added| ALWAYS| Maestro completed init
000000.128|  203000.0000kb|   1384.0000kb added| ALWAYS| StartSession called
000000.128|  203012.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.128|  203036.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.128|  203036.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.128|  203036.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.128|  203036.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.128|  203040.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.128|  203040.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.128|  203044.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.144|  203632.0000kb|    588.0000kb added| ALWAYS| r3dRenderLayer::Init(0x001e0518) enter
000000.162|  213068.0000kb|   9436.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.164|  216852.0000kb|   3784.0000kb added| ALWAYS| Physical memory: 8589934592
000001.164|  216852.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.164|  216852.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.164|  216852.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.165|  216852.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2319
000001.165|  216852.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.165|  216852.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.719|  220228.0000kb|   3376.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.600|  237708.0000kb|  17480.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.209\deploy\preferences\
000003.600|  237712.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.600|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.600|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.601|  237712.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.601|  237716.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.601|  237716.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.601|  237716.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.601|  237716.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.601|  237716.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.601|  237716.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.601|  237732.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.601|  237732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.601|  237732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.601|  237732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.601|  237732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.601|  237732.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.601|  237736.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.601|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.602|  237736.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.701|  237824.0000kb|     88.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.701|  237824.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.701|  237840.0000kb|     16.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000006.221|  267332.0000kb|  29492.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.837|  268924.0000kb|   1592.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000007.004|  271632.0000kb|   2708.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000007.564|  273260.0000kb|   1628.0000kb added| ALWAYS| Connected
000007.564|  273260.0000kb|      0.0000kb added| ALWAYS| Received client ID
000007.565|  273128.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000007.565|  273128.0000kb|      0.0000kb added| ALWAYS| Input started
000007.617|  273416.0000kb|    288.0000kb added| ALWAYS| Query Status Req started
000007.627|  273440.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :00000000201988bc
000007.738|  273472.0000kb|     32.0000kb added| ALWAYS| Query Status Req ended
000007.738|  273472.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000007.838|  273472.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.148 [PUBLIC]
000007.838|  273484.0000kb|     12.0000kb added| ALWAYS| Started Map Map1
000007.838|  273504.0000kb|     20.0000kb added| ALWAYS| netUID: 0 defaultname
000007.839|  273504.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000007.870|  273580.0000kb|     76.0000kb added| ALWAYS| PlayGame Started
000008.131|  276032.0000kb|   2452.0000kb added| ALWAYS| PlayGame Entered
000008.131|  276324.0000kb|    292.0000kb added| ALWAYS| CurRenderPipeline
000008.166|  284632.0000kb|   8308.0000kb added| ALWAYS| CreateParticleSystemManager
000012.363|  410740.0000kb| 126108.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000012.539|  411348.0000kb|    608.0000kb added|  ERROR| Assertion failed!

File: E:\jenkins\workspace\New-Code-CI-__MAIN__\code\HeroWars_clientServer\Sources\NewLogic\SpellData.cpp
Line: 218

Function: SpellData::LoadINI
Expression: !"Attempting to load a spell that doesn't exist!"...

000012.539|  411348.0000kb|      0.0000kb added|  ERROR| Assertion Description: General hard assert occurred, game may crash!
000024.743|  433588.0000kb|  22240.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
