--- Log started at Mon Oct 08 17:01:18 2012

000000.001|  197944.0000kb| 197944.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  198020.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Sep 25 2012/16:52:38) [PUBLIC] <__MAIN__>
000000.030|  201316.0000kb|   3296.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.030|  201344.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.209/deploy/LolClient.exe" "spectator 216.133.234.17:8088 oPG3RjkE0oooaCRgVEDg90IjGZcsZ1Nf 541716595 <id_removed>"
000000.036|  202336.0000kb|    992.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.036|  202348.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.036|  202348.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.037|  202348.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.037|  202352.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.039|  202480.0000kb|    128.0000kb added| ALWAYS| Maestro completed init
000000.039|  202480.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.044|  202696.0000kb|    216.0000kb added| ALWAYS| StartSession called
000000.044|  202708.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.044|  202748.0000kb|     40.0000kb added| ALWAYS| Waiting until connection...
000000.044|  202748.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.044|  202748.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.044|  202748.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.044|  202752.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.044|  202752.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.044|  202756.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.047|  203356.0000kb|    600.0000kb added| ALWAYS| r3dRenderLayer::Init(0x007202ac) enter
000000.110|  214524.0000kb|  11168.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.144|  218552.0000kb|   4028.0000kb added| ALWAYS| Physical memory: 8589934592
000001.144|  218556.0000kb|      4.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.144|  218556.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.144|  218556.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.144|  218556.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.144|  218556.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.144|  218556.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.526|  221524.0000kb|   2968.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.254|  239012.0000kb|  17488.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.209\deploy\preferences\
000003.254|  239016.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.254|  239016.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.254|  239020.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.254|  239020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.254|  239020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.254|  239020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.254|  239020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.254|  239020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.254|  239036.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.254|  239036.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.254|  239036.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.255|  239036.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.255|  239036.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.255|  239036.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.255|  239040.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.255|  239040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.258|  239140.0000kb|    100.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.258|  239140.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.258|  239156.0000kb|     16.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.047|  260980.0000kb|  21824.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.113|  262316.0000kb|   1336.0000kb added| ALWAYS| Spectator server version retrieved: 1.80.9
000005.149|  263112.0000kb|    796.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.193|  265496.0000kb|   2384.0000kb added| ALWAYS| Replay metadata retrieved.
000005.193|  265524.0000kb|     28.0000kb added| ALWAYS| ==== Fetch Startup Chunk Phase ====
000005.272|  268284.0000kb|   2760.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.289|  269468.0000kb|   1184.0000kb added| ALWAYS| ---- Waiting to fetch 5
000005.295|  269388.0000kb|    -80.0000kb added| ALWAYS| ---- Downloading Chunk 1
000005.346|  269860.0000kb|    472.0000kb added| ALWAYS| Replay ready.
000005.346|  269728.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.346|  269728.0000kb|      0.0000kb added| ALWAYS| Input started
000005.361|  269920.0000kb|    192.0000kb added| ALWAYS| Waiting for server response...
000005.455|  270988.0000kb|   1068.0000kb added| ALWAYS| **** Request chunk 1
000005.456|  270988.0000kb|      0.0000kb added| ALWAYS| Requesting chunk id 1 of chunk type 1
000005.456|  270988.0000kb|      0.0000kb added| ALWAYS| Started new chunk.  ChunkID: 1  chunk start time: 0.000000  current time: 0.000000
000005.456|  271016.0000kb|     28.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :000000002049f073
000005.456|  271028.0000kb|     12.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.148 [PUBLIC]
000005.456|  271036.0000kb|      8.0000kb added| ALWAYS| Started Map Map1
000005.457|  271060.0000kb|     24.0000kb added| ALWAYS| netUID: ffffffff defaultname
