--- Log started at Sun Oct 14 16:05:51 2012

000000.001|  200956.0000kb| 200956.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  201044.0000kb|     88.0000kb added| ALWAYS| Build Version: Version 1.0.0.148 (Oct 10 2012/01:48:05) [PUBLIC] <Releases/1_148_Khazix>
000000.029|  204816.0000kb|   3772.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.029|  204848.0000kb|     32.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.214/deploy/LolClient.exe" "64.7.194.164 5205 iOD26/t5K5puGXWYnsecmQ== <id_removed>"
000000.030|  204856.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.031|  204960.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.034|  205136.0000kb|    176.0000kb added| ALWAYS| Maestro completed init
000000.067|  206216.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.067|  206224.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.067|  206256.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.067|  206256.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.067|  206256.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.067|  206256.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.067|  206260.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2297
000000.067|  206260.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.067|  206264.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.069|  206992.0000kb|    728.0000kb added| ALWAYS| r3dRenderLayer::Init(0x005405f0) enter
000000.097|  225440.0000kb|  18448.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.160|  229420.0000kb|   3980.0000kb added| ALWAYS| Physical memory: 8589934592
000001.160|  229420.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.160|  229420.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.160|  229420.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.160|  229420.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.160|  229420.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.161|  229420.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.598|  232564.0000kb|   3144.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.320|  250020.0000kb|  17456.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.214\deploy\preferences\
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.320|  250020.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.320|  250024.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.321|  250024.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.321|  250024.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.321|  250024.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.321|  250024.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.321|  250024.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.321|  250040.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.321|  250040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.321|  250040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.321|  250040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.321|  250040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.321|  250040.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.321|  250044.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.321|  250044.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.324|  250120.0000kb|     76.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.324|  250120.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.324|  250152.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.012|  271584.0000kb|  21432.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.108|  272812.0000kb|   1228.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.266|  277812.0000kb|   5000.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.547|  278804.0000kb|    992.0000kb added| ALWAYS| Connected
000005.547|  278828.0000kb|     24.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID :0000000020ad9d55
000005.547|  278832.0000kb|      4.0000kb added| ALWAYS| Received client ID
000005.547|  278700.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.547|  278700.0000kb|      0.0000kb added| ALWAYS| Input started
000005.563|  278740.0000kb|     40.0000kb added| ALWAYS| Query Status Req started
000005.653|  278760.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000005.653|  278760.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.753|  278760.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.148 [PUBLIC]
000005.753|  278772.0000kb|     12.0000kb added| ALWAYS| Started Map Map1
000005.753|  278792.0000kb|     20.0000kb added| ALWAYS| netUID: 1 defaultname
000005.753|  278792.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.755|  278892.0000kb|    100.0000kb added| ALWAYS| PlayGame Started
000005.990|  281292.0000kb|   2400.0000kb added| ALWAYS| PlayGame Entered
000005.990|  281556.0000kb|    264.0000kb added| ALWAYS| CurRenderPipeline
000006.015|  289840.0000kb|   8284.0000kb added| ALWAYS| CreateParticleSystemManager
000007.152|  414180.0000kb| 124340.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000007.180|  414676.0000kb|    496.0000kb added|  ERROR| Assertion failed!

File: C:\jenkins\workspace\New-Code-CI-Releases\code\HeroWars_clientServer\Sources\NewLogic\SpellData.cpp
Line: 218

Function: SpellData::LoadINI
Expression: !"Attempting to load a spell that doesn't exist!"...

000007.180|  414676.0000kb|      0.0000kb added|  ERROR| Assertion Description: General hard assert occurred, game may crash!
000009.944|  454176.0000kb|  39500.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000009.944|  454176.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000009.944|  454176.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000010.139|  461104.0000kb|   6928.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000010.203|  464200.0000kb|   3096.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000010.206|  464352.0000kb|    152.0000kb added| ALWAYS| GameWorld.Update()
000010.206|  464352.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000010.569|  479332.0000kb|  14980.0000kb added| ALWAYS| End Game Object Update
000010.876|  484148.0000kb|   4816.0000kb added| ALWAYS| PreloadGlobalEffects()
000010.876|  484148.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000011.247|  519660.0000kb|  35512.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000011.247|  519660.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000011.361|  523304.0000kb|   3644.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000011.363|  523336.0000kb|     32.0000kb added| ALWAYS| FogOfWar::Init()
000011.365|  523476.0000kb|    140.0000kb added| ALWAYS| Gamma::CreateIAPI()
000011.367|  523532.0000kb|     56.0000kb added| ALWAYS| SimulationClock->Init()
000011.524|  549220.0968kb|  25688.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentHeight defaulting
000011.524|  549220.0968kb|      0.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000011.580|  555348.0968kb|   6128.0000kb added|   WARN| Flash swf TipTracker.swf does not have a valid _global.ContentHeight defaulting
000011.584|  556424.0000kb|   1076.0000kb added|   WARN| Flash swf TipDialogue.swf does not have a valid _global.ContentHeight defaulting
000011.600|  559348.0968kb|   2924.0000kb added|   WARN| Flash swf UIHighlight.swf does not have a valid _global.ContentHeight defaulting
000011.602|  559712.0000kb|    364.0000kb added|   WARN| Flash swf ScoreCallOut.swf does not have a valid _global.ContentHeight defaulting
000011.727|  572060.0032kb|  12348.0000kb added|   WARN| Flash swf VictoryPointDisplay.swf does not have a valid _global.ContentHeight defaulting
000011.732|  572644.0968kb|    584.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000011.764|  578364.0032kb|   5720.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
000012.103|  599364.0968kb|  21000.0000kb added|   WARN| Flash swf QuestTracker.swf does not have a valid _global.ContentHeight defaulting
000012.114|  600660.0968kb|   1296.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentHeight defaulting
000012.114|  600664.0000kb|      4.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentWidth defaulting
000012.118|  601208.0000kb|    544.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentHeight defaulting
000012.118|  601208.0000kb|      0.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000015.689|  664964.0968kb|  63756.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000020.460|  686424.0000kb|  21460.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000021.477|  748840.0000kb|  62416.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000021.477|  748840.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000021.588|  751048.0000kb|   2208.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000021.606|  756892.0032kb|   5844.0000kb added| ALWAYS| Start Main Loop
000021.606|  756892.0032kb|      0.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000021.606|  756908.0032kb|     16.0000kb added| ALWAYS| Waiting for all players to connect
000021.606|  756908.0032kb|      0.0000kb added| ALWAYS| Waiting for all players to connect end
000112.922|  784152.0000kb|  27244.0000kb added| ALWAYS| PKT_S2C_StartSpawn
000112.922|  784152.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000112.955|  784228.0968kb|     76.0000kb added| ALWAYS| Hero Maokai(0) created for K4Lku
000112.956|  784228.0968kb|      0.0000kb added| ALWAYS| Spawning heroes/minions
000112.977|  784524.0032kb|    296.0000kb added| ALWAYS| Finished spawning heroes/minions
000113.496|  784524.0032kb|      0.0000kb added| ALWAYS| Creating Hero...
000113.503|  784524.0032kb|      0.0000kb added| ALWAYS| Hero Annie(0) created for Scottpwnsnoobs
000113.509|  784528.0000kb|      4.0000kb added| ALWAYS| Creating Hero...
000113.544|  786292.0968kb|   1764.0000kb added| ALWAYS| Hero Katarina(6) created for VampireLordHero
000114.055|  787168.0000kb|    876.0000kb added| ALWAYS| Creating Hero...
000114.063|  787180.0032kb|     12.0000kb added| ALWAYS| Hero MasterYi(1) created for Tricksterpat
