--- Log started at Tue Oct 30 21:49:04 2012

000000.001|  197924.0000kb| 197924.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  198028.0000kb|    104.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.031|  201296.0000kb|   3268.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.031|  201340.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "216.133.234.161 5186 VwHirxSJ209rFgI/+/cEPQ== <id_removed>"
000000.032|  201348.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.033|  201452.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.036|  201632.0000kb|    180.0000kb added| ALWAYS| Maestro completed init
000000.069|  202676.0000kb|   1044.0000kb added| ALWAYS| StartSession called
000000.069|  202684.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.069|  202716.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.069|  202716.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.069|  202716.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.069|  202716.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.069|  202720.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2331
000000.069|  202720.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.069|  202724.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.071|  203396.0000kb|    672.0000kb added| ALWAYS| r3dRenderLayer::Init(0x005703b4) enter
000002.079|  221312.0000kb|  17916.0000kb added| ALWAYS| Physical memory: 8589934592
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000002.079|  221312.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.361|  221476.0000kb|    164.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000004.881|  228420.0000kb|   6944.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000005.640|  245764.0000kb|  17344.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.220\deploy\preferences\
000005.640|  245768.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000005.640|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000005.641|  245768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000005.641|  245780.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000005.641|  245780.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000005.641|  245780.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000005.641|  245780.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000005.641|  245780.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000005.641|  245780.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000005.641|  245784.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000005.641|  245784.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
