--- Log started at Thu Nov 01 09:10:09 2012

000000.002|  198104.0000kb| 198104.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  198208.0000kb|    104.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.039|  201496.0000kb|   3288.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.040|  201540.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "216.133.234.136 5131 EsCk2HkYlFVacEOudOS9lw== <id_removed>"
000000.041|  201548.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.042|  201652.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.045|  201828.0000kb|    176.0000kb added| ALWAYS| Maestro completed init
000000.054|  202852.0000kb|   1024.0000kb added| ALWAYS| StartSession called
000000.054|  202860.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.055|  202892.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.055|  202892.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.055|  202892.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.055|  202892.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.055|  202896.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.055|  202896.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.055|  202900.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.057|  203492.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x008f059a) enter
000000.082|  221424.0000kb|  17932.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.179|  225424.0000kb|   4000.0000kb added| ALWAYS| Physical memory: 8589934592
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.179|  225424.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.636|  228820.0000kb|   3396.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.386|  246156.0000kb|  17336.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.220\deploy\preferences\
000003.387|  246160.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.387|  246160.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.387|  246172.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.387|  246172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.387|  246172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.387|  246172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.387|  246172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.387|  246172.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.387|  246176.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.387|  246176.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.387|  246176.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.387|  246176.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.387|  246176.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.387|  246176.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
