--- Log started at Fri Nov 02 08:46:12 2012

000000.001|  198160.0000kb| 198160.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  198248.0000kb|     88.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.033|  201572.0000kb|   3324.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  201624.0000kb|     52.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "64.7.194.84 5124 cVMMxAFGciepXH07PcQYug== <id_removed>"
000000.034|  201640.0000kb|     16.0000kb added| ALWAYS| Started System Init
000000.035|  201904.0000kb|    264.0000kb added| ALWAYS| Maestro Init
000000.037|  202072.0000kb|    168.0000kb added| ALWAYS| Maestro completed init
000000.046|  203520.0000kb|   1448.0000kb added| ALWAYS| StartSession called
000000.046|  203532.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.047|  203564.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.047|  203564.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.047|  203564.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.047|  203564.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.047|  203568.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.047|  203568.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.047|  203572.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.049|  204152.0000kb|    580.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0073079c) enter
000000.066|  213644.0000kb|   9492.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.125|  217540.0000kb|   3896.0000kb added| ALWAYS| Physical memory: 8589934592
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.125|  217540.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.568|  220872.0000kb|   3332.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.309|  238212.0000kb|  17340.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.220\deploy\preferences\
000003.309|  238216.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.309|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.310|  238216.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.310|  238228.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.310|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.310|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.310|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.310|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.310|  238228.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.310|  238232.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.310|  238232.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.313|  238316.0000kb|     84.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.313|  238316.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.313|  238348.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000006.053|  257928.0000kb|  19580.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.254|  259700.0000kb|   1772.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.364|  264800.0000kb|   5100.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.644|  266372.0000kb|   1572.0000kb added| ALWAYS| Connected
000006.644|  266408.0000kb|     36.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 00000000220faa7a, PlatformID: NA1
000006.644|  266408.0000kb|      0.0000kb added| ALWAYS| Received client ID
000006.645|  266308.0000kb|   -100.0000kb added| ALWAYS| Set focus to app
000006.645|  266308.0000kb|      0.0000kb added| ALWAYS| Input started
000006.680|  266440.0000kb|    132.0000kb added| ALWAYS| Query Status Req started
000006.780|  266464.0000kb|     24.0000kb added| ALWAYS| Query Status Req ended
000006.780|  266464.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000006.880|  266464.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.150 [PUBLIC]
000006.880|  266464.0000kb|      0.0000kb added| ALWAYS| Started Map Map1
000006.880|  266484.0000kb|     20.0000kb added| ALWAYS| netUID: 0 defaultname
000006.880|  266484.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000006.885|  266556.0000kb|     72.0000kb added| ALWAYS| PlayGame Started
000007.680|  325200.0000kb|  58644.0000kb added| ALWAYS| PlayGame Entered
000007.680|  325224.0000kb|     24.0000kb added| ALWAYS| CurRenderPipeline
000007.684|  325312.0000kb|     88.0000kb added| ALWAYS| CreateParticleSystemManager
000008.595|  417056.0000kb|  91744.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000008.640|  417452.0000kb|    396.0000kb added|  ERROR| Assertion failed!

File: E:\jenkins\workspace\New-Code-CI-Releases\code\HeroWars_clientServer\Sources\NewLogic\SpellData.cpp
Line: 138

Function: SpellData::LoadINI
Expression: !"Attempting to load a spell that doesn't exist!"...

000008.641|  417452.0000kb|      0.0000kb added|  ERROR| Assertion Description: General hard assert occurred, game may crash!
000011.865|  445772.0000kb|  28320.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000011.865|  445772.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000011.865|  445772.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000012.112|  455548.0000kb|   9776.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000012.178|  458800.0000kb|   3252.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000012.181|  459080.0000kb|    280.0000kb added| ALWAYS| GameWorld.Update()
000012.181|  459080.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000012.818|  472208.0000kb|  13128.0000kb added| ALWAYS| End Game Object Update
000013.191|  477036.0000kb|   4828.0000kb added| ALWAYS| PreloadGlobalEffects()
000013.191|  477036.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000013.551|  512672.0000kb|  35636.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000013.551|  512672.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000013.665|  516756.0000kb|   4084.0000kb added| ALWAYS| Preload Announcements
000013.928|  531304.0000kb|  14548.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000013.930|  531332.0000kb|     28.0000kb added| ALWAYS| FogOfWar::Init()
000013.932|  531456.0000kb|    124.0000kb added| ALWAYS| Gamma::CreateIAPI()
000013.933|  531492.0000kb|     36.0000kb added| ALWAYS| SimulationClock->Init()
000014.095|  557780.0968kb|  26288.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentHeight defaulting
000014.095|  557780.0968kb|      0.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000014.150|  563956.0968kb|   6176.0000kb added|   WARN| Flash swf TipTracker.swf does not have a valid _global.ContentHeight defaulting
000014.155|  565272.0000kb|   1316.0000kb added|   WARN| Flash swf TipDialogue.swf does not have a valid _global.ContentHeight defaulting
000014.171|  568152.0000kb|   2880.0000kb added|   WARN| Flash swf UIHighlight.swf does not have a valid _global.ContentHeight defaulting
000014.173|  568508.0032kb|    356.0000kb added|   WARN| Flash swf ScoreCallOut.swf does not have a valid _global.ContentHeight defaulting
000014.191|  570448.0000kb|   1940.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000014.224|  576300.0032kb|   5852.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
000014.566|  597348.0968kb|  21048.0000kb added|   WARN| Flash swf QuestTracker.swf does not have a valid _global.ContentHeight defaulting
000014.578|  598632.0000kb|   1284.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentHeight defaulting
000014.578|  598636.0032kb|      4.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentWidth defaulting
000014.581|  599152.0000kb|    516.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentHeight defaulting
000014.581|  599152.0000kb|      0.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000018.880|  670896.0000kb|  71744.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000018.880|  670896.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000019.109|  687676.0032kb|  16780.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000019.135|  690532.0968kb|   2856.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000019.135|  690532.0968kb|      0.0000kb added| ALWAYS| Start Main Loop
000019.135|  690540.0032kb|      8.0000kb added| ALWAYS| Waiting for all players to connect
000019.135|  690540.0032kb|      0.0000kb added| ALWAYS| Waiting for all players to connect end
000072.294|  723384.0000kb|  32844.0000kb added| ALWAYS| PKT_S2C_StartSpawn
000072.294|  723384.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000072.304|  723456.0000kb|     72.0000kb added| ALWAYS| Hero MasterYi(0) created for mclarengtr
000072.324|  724152.0000kb|    696.0000kb added| ALWAYS| Spawning heroes/minions
000072.324|  724152.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000073.225|  732728.0000kb|   8576.0000kb added| ALWAYS| Hero Shaco(0) created for whaddup bro
000073.225|  732728.0000kb|      0.0000kb added| ALWAYS| Finished spawning heroes/minions
000073.731|  732800.0000kb|     72.0000kb added| ALWAYS| Creating Hero...
000073.748|  733752.0000kb|    952.0000kb added| ALWAYS| Hero Katarina(0) created for I LikeApplesauce
000074.249|  734624.0000kb|    872.0000kb added| ALWAYS| Creating Hero...
000074.273|  734628.0968kb|      4.0000kb added| ALWAYS| Hero Riven(0) created for DarkThetis
000074.776|  734628.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000075.097|  735708.0032kb|   1080.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_1/Ezreal_cyber_1.ini], skin [Data/Characters/ezreal_cyber_1/Ezreal_cyber_1.ini]
000075.099|  735716.0968kb|      8.0000kb added|  ERROR| Failed to load 
000075.255|  740056.0000kb|   4340.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_2/Ezreal_cyber_2.ini], skin [Data/Characters/ezreal_cyber_2/Ezreal_cyber_2.ini]
000075.255|  740056.0000kb|      0.0000kb added|  ERROR| Failed to load 
000075.356|  741624.0000kb|   1568.0000kb added|  ERROR| Failed to load .skn file for character [Data/Characters/ezreal_cyber_3/Ezreal_cyber_3.ini], skin [Data/Characters/ezreal_cyber_3/Ezreal_cyber_3.ini]
000075.356|  741624.0000kb|      0.0000kb added|  ERROR| Failed to load 
000075.463|  742856.0000kb|   1232.0000kb added| ALWAYS| Hero Ezreal(0) created for LucifeRise
000075.966|  742860.0032kb|      4.0000kb added| ALWAYS| Creating Hero...
000076.518|  747348.0968kb|   4488.0000kb added| ALWAYS| Hero MissFortune(0) created for Miss Fortune Bot
000077.019|  747348.0968kb|      0.0000kb added| ALWAYS| Creating Hero...
000077.389|  750080.0000kb|   2732.0000kb added| ALWAYS| Hero Nunu(0) created for Nunu Bot
000077.894|  750080.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000078.256|  754976.0000kb|   4896.0000kb added| ALWAYS| Hero Ryze(0) created for Ryze Bot
000078.761|  754980.0968kb|      4.0000kb added| ALWAYS| Creating Hero...
000079.335|  764928.0000kb|   9948.0000kb added| ALWAYS| Hero Lux(0) created for Lux Bot
000079.836|  764928.0000kb|      0.0000kb added| ALWAYS| Creating Hero...
000081.284|  776640.0000kb|  11712.0000kb added| ALWAYS| Hero Leona(0) created for Leona Bot
000082.991|  789352.0000kb|  12712.0000kb added| ALWAYS| PKT_S2C_EndSpawn
000087.505|  789652.0968kb|    300.0000kb added| ALWAYS| PKT_StartGame
000087.511|  789692.0032kb|     40.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000088.888|  826592.0000kb|  36900.0000kb added| ALWAYS| PKT_StartGame Finished proccessing
000088.896|  826988.0032kb|    396.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Begin
000088.896|  826988.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Update World
000088.900|  826988.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP GUIMenuProcess
000088.900|  826988.0032kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP HUDProcess
000088.900|  826992.0000kb|      4.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Particle Simulation
000088.900|  826992.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FOWUpdate
000088.901|  826992.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP UpdateVis
000088.949|  828480.0000kb|   1488.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000088.949|  828480.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000089.024|  836468.0968kb|   7988.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PostProcess
000089.024|  836520.0000kb|     52.0000kb added| ALWAYS| GAMESTATE_GAMELOOP ApplyGamma
000089.039|  836932.0968kb|    412.0000kb added| ALWAYS| GAMESTATE_GAMELOOP HUDDraw
000089.054|  838664.0000kb|   1732.0000kb added| ALWAYS| GAMESTATE_GAMELOOP GUIMenuDraw
000089.136|  853936.0000kb|  15272.0000kb added| ALWAYS| GAMESTATE_GAMELOOP DrawSysInfo
000089.136|  853936.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP MCommandDraw
000089.136|  853936.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000089.136|  853936.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP AudioUpdate
000089.136|  853936.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP EndRender & EndFrame
000089.141|  838520.0000kb| -15416.0000kb added| ALWAYS| GAMESTATE_GAMELOOP End
000170.376|  796900.0968kb| -41620.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000191.463|  900716.0032kb| 103816.0000kb added| ALWAYS| chat_debug: Console SendChat coffee + coco is too good
000205.118|  911028.0968kb|  10312.0000kb added| ALWAYS| chat_debug: Console SendChat l0l
000318.924|  943176.0000kb|  32148.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_open, for character: Leona
000325.188|  942728.0000kb|   -448.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_close, for character: Leona
000329.920|  944120.0000kb|   1392.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000329.920|  944120.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000341.466|  944784.0000kb|    664.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000341.466|  944784.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000380.650|  955508.0968kb|  10724.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_open, for character: Leona
000386.765|  958936.0000kb|   3428.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_close, for character: Leona
000407.689|  956088.0000kb|  -2848.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000407.689|  956088.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000418.271|  944688.0000kb| -11400.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_open, for character: Leona
000419.875|  944688.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000419.876|  944688.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000421.721|  843388.0032kb| -101300.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000421.913|  843496.0000kb|    108.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_close, for character: Leona
000434.344|  936552.0000kb|  93056.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_open, for character: Leona
000437.470|  949784.0000kb|  13232.0000kb added|  ERROR| Playing Animation Error, Cant Find Animation: Spell2_close, for character: Leona
000450.214|  950672.0000kb|    888.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000450.214|  950672.0000kb|      0.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
000481.519|  954784.0000kb|   4112.0000kb added|  ERROR| >>> EffectHashMap::HashToName - Match not found for hash 06c429d0
