--- Log started at Sat Nov 10 22:21:15 2012

000000.001|  198124.0000kb| 198124.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  198228.0000kb|    104.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.033|  201504.0000kb|   3276.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  201548.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "216.133.234.193 5200 VWA18Hxlr3VkxOmGnRjwEA== <id_removed>"
000000.034|  201560.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.035|  201664.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.038|  201848.0000kb|    184.0000kb added| ALWAYS| Maestro completed init
000000.063|  202880.0000kb|   1032.0000kb added| ALWAYS| StartSession called
000000.063|  202892.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.063|  202924.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.063|  202924.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.063|  202924.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.063|  202924.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.063|  202928.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.063|  202928.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.063|  202932.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.065|  203596.0000kb|    664.0000kb added| ALWAYS| r3dRenderLayer::Init(0x014606c8) enter
000001.178|  221572.0000kb|  17976.0000kb added| ALWAYS| Physical memory: 8589934592
000001.178|  221572.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.178|  221572.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.178|  221572.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.179|  221572.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.179|  221572.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.179|  221572.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000001.351|  221840.0000kb|    268.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000003.865|  228764.0000kb|   6924.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000004.606|  246100.0000kb|  17336.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.220\deploy\preferences\
000004.606|  246104.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000004.607|  246104.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000004.607|  246116.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000004.607|  246116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000004.607|  246116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000004.607|  246116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000004.607|  246116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000004.607|  246116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000004.607|  246120.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000004.607|  246120.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000004.611|  246204.0000kb|     84.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
