--- Log started at Sun Nov 11 11:55:14 2012

000000.001|  198160.0000kb| 198160.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  198268.0000kb|    108.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.032|  201640.0000kb|   3372.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  201684.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "64.7.194.157 5154 xHkJ43yHQR2k9z5a+elQYQ== <id_removed>"
000000.034|  201692.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.035|  201796.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.038|  201976.0000kb|    180.0000kb added| ALWAYS| Maestro completed init
000000.059|  203008.0000kb|   1032.0000kb added| ALWAYS| StartSession called
000000.059|  203016.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.060|  203048.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.060|  203048.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.060|  203048.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.060|  203048.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.060|  203052.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2320
000000.060|  203052.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.060|  203056.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.062|  203636.0000kb|    580.0000kb added| ALWAYS| r3dRenderLayer::Init(0x015106de) enter
000000.093|  222456.0000kb|  18820.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.184|  226288.0000kb|   3832.0000kb added| ALWAYS| Physical memory: 8589934592
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.184|  226288.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.649|  229632.0000kb|   3344.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.391|  246972.0000kb|  17340.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.220\deploy\preferences\
000003.392|  246976.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.392|  246976.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.392|  246988.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.392|  246988.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.392|  246988.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.392|  246988.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.392|  246988.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.392|  246988.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.392|  246992.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.392|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.392|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.392|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.392|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.392|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.393|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.393|  246992.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.396|  247088.0000kb|     96.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.396|  247088.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.396|  247120.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.160|  272916.0000kb|  25796.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.358|  273912.0000kb|    996.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.518|  278912.0000kb|   5000.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.798|  280644.0000kb|   1732.0000kb added| ALWAYS| Connected
000005.798|  280680.0000kb|     36.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000022c38cb2, PlatformID: NA1
000005.799|  280680.0000kb|      0.0000kb added| ALWAYS| Received client ID
000005.799|  280548.0000kb|   -132.0000kb added| ALWAYS| Set focus to app
000005.799|  280548.0000kb|      0.0000kb added| ALWAYS| Input started
000005.837|  280756.0000kb|    208.0000kb added| ALWAYS| Query Status Req started
000005.937|  280776.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000005.937|  280776.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000006.037|  280776.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.150 [PUBLIC]
000006.037|  280776.0000kb|      0.0000kb added| ALWAYS| Started Map Map1
000006.037|  280796.0000kb|     20.0000kb added| ALWAYS| netUID: 2 defaultname
000006.038|  280796.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000006.040|  280868.0000kb|     72.0000kb added| ALWAYS| PlayGame Started
000006.554|  317496.0000kb|  36628.0000kb added| ALWAYS| PlayGame Entered
000006.554|  317564.0000kb|     68.0000kb added| ALWAYS| CurRenderPipeline
000006.558|  317604.0000kb|     40.0000kb added| ALWAYS| CreateParticleSystemManager
000007.342|  413424.0000kb|  95820.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000007.411|  416424.0000kb|   3000.0000kb added|  ERROR| Assertion failed!

File: E:\jenkins\workspace\New-Code-CI-Releases\code\HeroWars_clientServer\Sources\NewLogic\SpellData.cpp
Line: 138

Function: SpellData::LoadINI
Expression: !"Attempting to load a spell that doesn't exist!"...

000007.411|  416424.0000kb|      0.0000kb added|  ERROR| Assertion Description: General hard assert occurred, game may crash!
000009.973|  451024.0000kb|  34600.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000009.973|  451024.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000009.973|  451024.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000010.163|  458360.0000kb|   7336.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000010.232|  461608.0000kb|   3248.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000010.236|  461904.0000kb|    296.0000kb added| ALWAYS| GameWorld.Update()
000010.236|  461904.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000010.593|  476860.0000kb|  14956.0000kb added| ALWAYS| End Game Object Update
000010.931|  483580.0000kb|   6720.0000kb added| ALWAYS| PreloadGlobalEffects()
000010.931|  483580.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000011.302|  519668.0000kb|  36088.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000011.302|  519668.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000011.418|  523576.0000kb|   3908.0000kb added| ALWAYS| Preload Announcements
000011.679|  538056.0000kb|  14480.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000011.681|  538084.0968kb|     28.0000kb added| ALWAYS| FogOfWar::Init()
000011.683|  538260.0968kb|    176.0000kb added| ALWAYS| Gamma::CreateIAPI()
000011.685|  538296.0000kb|     36.0000kb added| ALWAYS| SimulationClock->Init()
000011.846|  564424.0000kb|  26128.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentHeight defaulting
000011.846|  564428.0032kb|      4.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000011.903|  570532.0968kb|   6104.0000kb added|   WARN| Flash swf TipTracker.swf does not have a valid _global.ContentHeight defaulting
000011.908|  571608.0000kb|   1076.0000kb added|   WARN| Flash swf TipDialogue.swf does not have a valid _global.ContentHeight defaulting
000011.923|  574492.0032kb|   2884.0000kb added|   WARN| Flash swf UIHighlight.swf does not have a valid _global.ContentHeight defaulting
000011.925|  574868.0968kb|    376.0000kb added|   WARN| Flash swf ScoreCallOut.swf does not have a valid _global.ContentHeight defaulting
000011.944|  576804.0968kb|   1936.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000011.980|  582668.0032kb|   5864.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
