--- Log started at Mon Nov 12 00:26:47 2012

000000.002|  198200.0000kb| 198200.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  198300.0000kb|    100.0000kb added| ALWAYS| Build Version: Version 1.0.0.150 (Oct 26 2012/14:07:29) [PUBLIC] <Releases/1_150_Elise>
000000.033|  201684.0000kb|   3384.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  201728.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.220/deploy/LolClient.exe" "216.133.234.68 5136 ryMLtJFTn+fG5jO6PnXT/w== <id_removed>"
000000.034|  201736.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.035|  201844.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.038|  202032.0000kb|    188.0000kb added| ALWAYS| Maestro completed init
000000.052|  203044.0000kb|   1012.0000kb added| ALWAYS| StartSession called
000000.052|  203052.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.052|  203084.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.052|  203084.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.052|  203084.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.052|  203084.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.052|  203088.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.052|  203088.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.053|  203092.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.054|  203668.0000kb|    576.0000kb added| ALWAYS| r3dRenderLayer::Init(0x026b0684) enter
000000.071|  213324.0000kb|   9656.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.156|  217572.0000kb|   4248.0000kb added| ALWAYS| Physical memory: 8589934592
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2320
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.156|  217572.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.583|  220880.0000kb|   3308.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
