--- Log started at Wed Nov 14 19:53:41 2012

000000.001|  197828.0000kb| 197828.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  197940.0000kb|    112.0000kb added| ALWAYS| Build Version: Version 1.0.0.151 (Nov  9 2012/16:23:15) [PUBLIC] <Releases/1_151_Zed>
000000.036|  201240.0000kb|   3300.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.036|  201276.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.223/deploy/LolClient.exe" "64.7.194.157 5174 LPOlzO4tCv0r0Uy0iXW1rg== <id_removed>"
000000.037|  201280.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.039|  201388.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.042|  201568.0000kb|    180.0000kb added| ALWAYS| Maestro completed init
000000.051|  202620.0000kb|   1052.0000kb added| ALWAYS| StartSession called
000000.051|  202632.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.052|  202656.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.052|  202656.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.052|  202656.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.052|  202656.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.052|  202660.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.052|  202660.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.052|  202664.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.054|  203256.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x006303e8) enter
000000.070|  212756.0000kb|   9500.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.318|  217172.0000kb|   4416.0000kb added| ALWAYS| Physical memory: 8589934592
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.319|  217172.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.620|  220312.0000kb|   3140.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.398|  237748.0000kb|  17436.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.223\deploy\preferences\
000003.398|  237756.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.398|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.399|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.399|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.399|  237756.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.399|  237768.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.399|  237768.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
