--- Log started at Sat Nov 17 13:53:05 2012

000000.001|  197692.0000kb| 197692.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  197796.0000kb|    104.0000kb added| ALWAYS| Build Version: Version 1.0.0.151 (Nov  9 2012/16:23:15) [PUBLIC] <Releases/1_151_Zed>
000000.028|  201068.0000kb|   3272.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.028|  201104.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.223/deploy/LolClient.exe" "216.133.234.69 5158 LnLkzlG2NnCQDdFKEaiFMA== <id_removed>"
000000.029|  201108.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.030|  201216.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.033|  201400.0000kb|    184.0000kb added| ALWAYS| Maestro completed init
000000.041|  202480.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.041|  202496.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.042|  202520.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.042|  202520.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.042|  202520.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.042|  202520.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.042|  202524.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.042|  202524.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.042|  202528.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.044|  203112.0000kb|    584.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00300458) enter
000000.061|  212640.0000kb|   9528.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.155|  217048.0000kb|   4408.0000kb added| ALWAYS| Physical memory: 8589934592
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.155|  217048.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.602|  220428.0000kb|   3380.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.341|  237856.0000kb|  17428.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.223\deploy\preferences\
000003.341|  237864.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.341|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.342|  237864.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.342|  237876.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
