--- Log started at Tue Nov 20 22:08:40 2012

000000.016|  199720.0000kb| 199720.0000kb added| ALWAYS| Global Log Level set to WARN
000000.016|  199724.0000kb|      4.0000kb added| ALWAYS| Build Version: Version 1.0.0.151 (Nov  9 2012/16:23:15) [PUBLIC] <Releases/1_151_Zed>
000000.047|  201160.0000kb|   1436.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.047|  201204.0000kb|     44.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.223/deploy/LolClient.exe" "216.133.234.69 5103 KMmIu81G1gZH1AOum+799A== <id_removed>"
000000.048|  201208.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.049|  201316.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.052|  201500.0000kb|    184.0000kb added| ALWAYS| Maestro completed init
000000.060|  202644.0000kb|   1144.0000kb added| ALWAYS| StartSession called
000000.061|  202660.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.061|  202684.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.061|  202684.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.061|  202684.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.061|  202684.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.061|  202688.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2305
000000.061|  202688.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.061|  202692.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.064|  203288.0000kb|    596.0000kb added| ALWAYS| r3dRenderLayer::Init(0x002b04a0) enter
000000.084|  213584.0000kb|  10296.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.178|  217336.0000kb|   3752.0000kb added| ALWAYS| Physical memory: 8589934592
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.178|  217336.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.623|  220660.0000kb|   3324.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (DATA/Menu/fontconfig_en_US.txt).
000003.357|  238092.0000kb|  17432.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.223\deploy\preferences\
000003.357|  238100.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.357|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.358|  238100.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.358|  238112.0000kb|     12.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.358|  238112.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.358|  238112.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.358|  238112.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.358|  238112.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.358|  238112.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.358|  238116.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.358|  238116.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.361|  238196.0000kb|     80.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.362|  238196.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.362|  238224.0000kb|     28.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000004.990|  264400.0000kb|  26176.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000005.174|  266360.0000kb|   1960.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000005.287|  271424.0000kb|   5064.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.567|  273132.0000kb|   1708.0000kb added| ALWAYS| Connected
000005.567|  273176.0000kb|     44.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 00000000237a09b4, PlatformID: NA1
000005.567|  273180.0000kb|      4.0000kb added| ALWAYS| Received client ID
000005.567|  273076.0000kb|   -104.0000kb added| ALWAYS| Set focus to app
000005.568|  273076.0000kb|      0.0000kb added| ALWAYS| Input started
000005.603|  273208.0000kb|    132.0000kb added| ALWAYS| Query Status Req started
000005.694|  273228.0000kb|     20.0000kb added| ALWAYS| Query Status Req ended
000005.694|  273228.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.794|  273228.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.151 [PUBLIC]
000005.794|  273228.0000kb|      0.0000kb added| ALWAYS| Started Map Map1
000005.794|  273252.0000kb|     24.0000kb added| ALWAYS| netUID: 1 defaultname
000005.794|  273252.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.799|  273328.0000kb|     76.0000kb added| ALWAYS| PlayGame Started
000006.761|  316716.0000kb|  43388.0000kb added| ALWAYS| PlayGame Entered
000006.761|  316728.0000kb|     12.0000kb added| ALWAYS| CurRenderPipeline
000006.765|  316780.0000kb|     52.0000kb added| ALWAYS| CreateParticleSystemManager
000007.550|  406504.0000kb|  89724.0000kb added|  ERROR| Duplicate key/value pair ([BackgroundTexture, SpawnedMinionBars.tga] in Data/Menu/GeneralCharacterData.ini
000010.388|  447800.0000kb|  41296.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000010.388|  447800.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000010.388|  447800.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000010.583|  455180.0000kb|   7380.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000010.651|  458360.0000kb|   3180.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000010.653|  458516.0000kb|    156.0000kb added| ALWAYS| GameWorld.Update()
000010.653|  458516.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000011.007|  475408.0000kb|  16892.0000kb added| ALWAYS| End Game Object Update
000011.314|  480736.0000kb|   5328.0000kb added| ALWAYS| PreloadGlobalEffects()
000011.314|  480736.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000011.681|  516588.0000kb|  35852.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000011.681|  516588.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000011.797|  520528.0000kb|   3940.0000kb added| ALWAYS| Preload Announcements
000012.050|  535032.0000kb|  14504.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000012.052|  535064.0000kb|     32.0000kb added| ALWAYS| FogOfWar::Init()
000012.055|  535224.0000kb|    160.0000kb added| ALWAYS| Gamma::CreateIAPI()
000012.056|  535264.0000kb|     40.0000kb added| ALWAYS| SimulationClock->Init()
000012.213|  561744.0000kb|  26480.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentHeight defaulting
000012.213|  561744.0000kb|      0.0000kb added|   WARN| Flash swf Scoreboard.swf does not have a valid _global.ContentWidth defaulting
000012.270|  567812.0968kb|   6068.0000kb added|   WARN| Flash swf TipTracker.swf does not have a valid _global.ContentHeight defaulting
000012.275|  568864.0000kb|   1052.0000kb added|   WARN| Flash swf TipDialogue.swf does not have a valid _global.ContentHeight defaulting
000012.290|  571740.0032kb|   2876.0000kb added|   WARN| Flash swf UIHighlight.swf does not have a valid _global.ContentHeight defaulting
000012.292|  572080.0000kb|    340.0000kb added|   WARN| Flash swf ScoreCallOut.swf does not have a valid _global.ContentHeight defaulting
000012.311|  574024.0000kb|   1944.0000kb added|   WARN| Flash swf MessageList.swf does not have a valid _global.ContentHeight defaulting
000012.344|  579828.0968kb|   5804.0000kb added|   WARN| Flash swf MessageBoxSmall.swf does not have a valid _global.ContentHeight defaulting
000012.702|  601844.0968kb|  22016.0000kb added|   WARN| Flash swf QuestTracker.swf does not have a valid _global.ContentHeight defaulting
000012.717|  603308.0032kb|   1464.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentHeight defaulting
000012.717|  603308.0032kb|      0.0000kb added|   WARN| Flash swf Tooltips.swf does not have a valid _global.ContentWidth defaulting
000012.721|  603848.0000kb|    540.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentHeight defaulting
000012.721|  603848.0000kb|      0.0000kb added|   WARN| Flash swf RainboomTooltip.swf does not have a valid _global.ContentWidth defaulting
000013.943|  642852.0968kb|  39004.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000019.699|  727376.0000kb|  84524.0000kb added| ALWAYS| GAMESTATE_GAMELOOP PreRender
000019.699|  727376.0000kb|      0.0000kb added| ALWAYS| GAMESTATE_GAMELOOP Render
000019.947|  748880.0000kb|  21504.0000kb added| ALWAYS| GAMESTATE_GAMELOOP FlushText
000020.023|  771468.0032kb|  22588.0000kb added| ALWAYS| PKT_C2S_CharSelected sent
000020.023|  771468.0032kb|      0.0000kb added| ALWAYS| Start Main Loop
000020.023|  771476.0968kb|      8.0000kb added| ALWAYS| Waiting for all players to connect
