--- Log started at Sun Nov 25 21:34:31 2012

000000.002|  197900.0000kb| 197900.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  197976.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 1.0.0.151 (Nov  9 2012/16:23:15) [PUBLIC] <Releases/1_151_Zed>
000000.041|  201288.0000kb|   3312.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.042|  201324.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.223/deploy/LolClient.exe" "spectator 216.133.234.17:8088 lifoXZFpauT5LgCVwigdu9QBjJuFZ/oR 601482376 <id_removed>"
000000.049|  202328.0000kb|   1004.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.049|  202340.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.049|  202340.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.050|  202340.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.050|  202344.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.055|  202480.0000kb|    136.0000kb added| ALWAYS| Maestro completed init
000000.055|  202480.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.061|  202716.0000kb|    236.0000kb added| ALWAYS| StartSession called
000000.061|  202740.0000kb|     24.0000kb added| ALWAYS| Started Init event arguments
000000.062|  202764.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.062|  202764.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.062|  202764.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.062|  202764.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.062|  202768.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2292
000000.062|  202768.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.062|  202772.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.064|  203360.0000kb|    588.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00f30704) enter
000000.082|  213064.0000kb|   9704.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.169|  217336.0000kb|   4272.0000kb added| ALWAYS| Physical memory: 8589934592
000001.169|  217336.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.169|  217336.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
