--- Log started at Mon Dec 03 15:16:26 2012

000000.002|  197816.0000kb| 197816.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  197904.0000kb|     88.0000kb added| ALWAYS| Build Version: Version 1.0.0.151 (Nov  9 2012/16:23:15) [PUBLIC] <Releases/1_151_Zed>
000000.036|  201188.0000kb|   3284.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.036|  201224.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.223/deploy/LolClient.exe" "64.7.194.202 5137 2oijU4XyI6HKxktwQBmA2g== <id_removed>"
000000.037|  201236.0000kb|     12.0000kb added| ALWAYS| Started System Init
000000.038|  201372.0000kb|    136.0000kb added| ALWAYS| Maestro Init
000000.043|  201632.0000kb|    260.0000kb added| ALWAYS| Maestro completed init
000000.079|  202712.0000kb|   1080.0000kb added| ALWAYS| StartSession called
000000.079|  202724.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.079|  202748.0000kb|     24.0000kb added| ALWAYS| Waiting until connection...
000000.079|  202748.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.079|  202748.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.079|  202748.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.080|  202752.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.080|  202752.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.080|  202756.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.093|  203344.0000kb|    588.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00260478) enter
000000.112|  212848.0000kb|   9504.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.345|  217364.0000kb|   4516.0000kb added| ALWAYS| Physical memory: 8589934592
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.345|  217364.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
