--- Log started at Fri Dec 07 21:24:12 2012

000000.001|  199512.0000kb| 199512.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  199612.0000kb|    100.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec  3 2012/13:01:05) [PUBLIC] <Releases/1_152_Nami>
000000.030|  202436.0000kb|   2824.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.030|  202464.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.226/deploy/LolClient.exe" "64.7.194.114 5236 IW/dZggZQZc8L5E2KkzYYQ== <id_removed>"
000000.032|  202472.0000kb|      8.0000kb added| ALWAYS| Started System Init
000000.033|  202580.0000kb|    108.0000kb added| ALWAYS| Maestro Init
000000.035|  202764.0000kb|    184.0000kb added| ALWAYS| Maestro completed init
000000.044|  203784.0000kb|   1020.0000kb added| ALWAYS| StartSession called
000000.044|  203792.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.045|  203824.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.045|  203824.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.045|  203824.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.045|  203824.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.045|  203828.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.045|  203828.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.045|  203832.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.047|  204424.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x003e06d8) enter
000000.063|  213936.0000kb|   9512.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.412|  218304.0000kb|   4368.0000kb added| ALWAYS| Physical memory: 8589934592
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.413|  218304.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.744|  222628.0000kb|   4324.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.202|  226052.0000kb|   3424.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.202/deploy/Data/Menu/IMEConfig.xml
000003.207|  226208.0000kb|    156.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.226\deploy\preferences\
000003.207|  226212.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.207|  226212.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.208|  226212.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.208|  226212.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
