--- Log started at Mon Dec 10 17:18:38 2012

000000.002|  199364.0000kb| 199364.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  199464.0000kb|    100.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec  3 2012/13:01:05) [PUBLIC] <Releases/1_152_Nami>
000000.032|  202208.0000kb|   2744.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.032|  202236.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.226/deploy/LolClient.exe" "spectator 216.133.234.17:8088 zirzluvTglB7m24WzwK8D1G8ZoTL/MYH 619901147 <id_removed>"
000000.038|  203224.0000kb|    988.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.039|  203236.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.039|  203236.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.039|  203236.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.039|  203244.0000kb|      8.0000kb added| ALWAYS| Maestro Init
000000.042|  203376.0000kb|    132.0000kb added| ALWAYS| Maestro completed init
000000.042|  203376.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.046|  203568.0000kb|    192.0000kb added| ALWAYS| StartSession called
000000.046|  203596.0000kb|     28.0000kb added| ALWAYS| Started Init event arguments
000000.047|  203628.0000kb|     32.0000kb added| ALWAYS| Waiting until connection...
000000.047|  203628.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.047|  203628.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.047|  203628.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.047|  203632.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.047|  203632.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.047|  203636.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.049|  204228.0000kb|    592.0000kb added| ALWAYS| r3dRenderLayer::Init(0x004e07c0) enter
000000.074|  221996.0000kb|  17768.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.396|  226236.0000kb|   4240.0000kb added| ALWAYS| Physical memory: 8589934592
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.396|  226236.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.712|  230936.0000kb|   4700.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.147|  234200.0000kb|   3264.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.202/deploy/Data/Menu/IMEConfig.xml
000003.152|  234476.0000kb|    276.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.226\deploy\preferences\
000003.152|  234480.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.152|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.153|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.153|  234496.0000kb|     16.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.153|  234496.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.153|  234496.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.153|  234496.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.153|  234496.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.153|  234496.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.153|  234500.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.153|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.156|  234712.0000kb|    212.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1280, YRes = 720, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.157|  234712.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.157|  234744.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000005.890|  260992.0000kb|  26248.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000006.091|  262544.0000kb|   1552.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000006.215|  267660.0000kb|   5116.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000006.546|  271520.0000kb|   3860.0000kb added| ALWAYS| Sleeping
000006.645|  271520.0000kb|      0.0000kb added| ALWAYS| Start processing App Update
000006.645|  271524.0000kb|      4.0000kb added| ALWAYS| End processing App Update
