--- Log started at Tue Dec 18 14:42:14 2012

000000.010|  200868.0000kb| 200868.0000kb added| ALWAYS| Global Log Level set to WARN
000000.010|  201004.0000kb|    136.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 11 2012/17:40:14) [PUBLIC] <Releases/1_152_Vi>
000000.034|  202488.0000kb|   1484.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.034|  202516.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.203\deploy\LolClient.exe" "spectator 216.133.234.17:8088 jwLqlB39D90Y9RCdjZubFhdri4lUXwEL 630097854 <id_removed>"
000000.039|  203488.0000kb|    972.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.039|  203500.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.039|  203500.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.040|  203500.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.040|  203504.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.042|  203632.0000kb|    128.0000kb added| ALWAYS| Maestro completed init
000000.043|  203632.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.066|  203976.0000kb|    344.0000kb added| ALWAYS| StartSession called
000000.067|  203992.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.067|  204020.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.067|  204020.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.067|  204020.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.067|  204020.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.067|  204028.0000kb|      8.0000kb added| ALWAYS| Measured processor speed: 2321
000000.067|  204028.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
