--- Log started at Tue Dec 18 18:47:56 2012

000000.001|  203428.0000kb| 203428.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  203528.0000kb|    100.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 11 2012/17:40:14) [PUBLIC] <Releases/1_152_Vi>
000000.026|  206416.0000kb|   2888.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.026|  206444.0000kb|     28.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.228/deploy/LolClient.exe" "spectator spectator.na.lol.riotgames.com:8088 ubT99yJS3HBWWMnhpLB1YwoSZnBu5V5s 630491208 <id_removed>"
000000.059|  207416.0000kb|    972.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.059|  207428.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.059|  207428.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.060|  207428.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.060|  207432.0000kb|      4.0000kb added| ALWAYS| Maestro Init
000000.062|  207572.0000kb|    140.0000kb added| ALWAYS| Maestro completed init
000000.062|  207572.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.082|  208268.0000kb|    696.0000kb added| ALWAYS| StartSession called
000000.082|  208284.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.082|  208312.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.082|  208312.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.082|  208312.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.082|  208312.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.083|  208316.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.083|  208316.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.083|  208320.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.084|  208888.0000kb|    568.0000kb added| ALWAYS| r3dRenderLayer::Init(0x005b17f8) enter
000000.111|  226644.0000kb|  17756.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.175|  230144.0000kb|   3500.0000kb added| ALWAYS| Physical memory: 8589934592
000001.175|  230144.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.175|  230144.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.175|  230144.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
