--- Log started at Thu Dec 20 17:36:36 2012

000000.001|  200040.0000kb| 200040.0000kb added| ALWAYS| Global Log Level set to WARN
000000.002|  200148.0000kb|    108.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 18 2012/04:46:37) [PUBLIC] <Releases/1_152_Vi>
000000.032|  203072.0000kb|   2924.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.032|  203108.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.229/deploy/LolClient.exe" "216.133.234.124 5230 1fJv1yZI5osT222nZqAwUw== <id_removed>"
000000.033|  203112.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.034|  203216.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.040|  203388.0000kb|    172.0000kb added| ALWAYS| Maestro completed init
000000.049|  204432.0000kb|   1044.0000kb added| ALWAYS| StartSession called
000000.049|  204444.0000kb|     12.0000kb added| ALWAYS| Started Init event arguments
000000.050|  204472.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.050|  204472.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.050|  204472.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.050|  204472.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.050|  204476.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.050|  204476.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.050|  204480.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.076|  205212.0000kb|    732.0000kb added| ALWAYS| r3dRenderLayer::Init(0x000e050c) enter
000000.096|  215048.0000kb|   9836.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.181|  218564.0000kb|   3516.0000kb added| ALWAYS| Physical memory: 8589934592
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.182|  218564.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.779|  223244.0000kb|   4680.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.216|  226708.0000kb|   3464.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.204/deploy/Data/Menu/IMEConfig.xml
000003.221|  226884.0000kb|    176.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.229\deploy\preferences\
000003.221|  226892.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.221|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.222|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.222|  226892.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.222|  226912.0000kb|     20.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.222|  226912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.222|  226912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.222|  226912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.222|  226912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.222|  226912.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.222|  226916.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.222|  226916.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.368|  227128.0000kb|    212.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.368|  227128.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.368|  227160.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.983|  236708.0000kb|   9548.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000004.599|  238880.0000kb|   2172.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.710|  244080.0000kb|   5200.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000005.287|  249212.0000kb|   5132.0000kb added| ALWAYS| Connected
000005.287|  249248.0000kb|     36.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 0000000025bfe623, PlatformID: NA1
000005.287|  249252.0000kb|      4.0000kb added| ALWAYS| Received client ID
000005.289|  249136.0000kb|   -116.0000kb added| ALWAYS| Set focus to app
000005.289|  249136.0000kb|      0.0000kb added| ALWAYS| Input started
000005.337|  249180.0000kb|     44.0000kb added| ALWAYS| Query Status Req started
000005.457|  249228.0000kb|     48.0000kb added| ALWAYS| Query Status Req ended
000005.457|  249228.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000005.557|  249228.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.152 [PUBLIC]
000005.557|  249232.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000005.558|  249272.0000kb|     40.0000kb added| ALWAYS| netUID: 0 defaultname
000005.558|  249272.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000005.563|  249288.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000006.503|  279120.0000kb|  29832.0000kb added| ALWAYS| PlayGame Entered
000006.504|  279172.0000kb|     52.0000kb added| ALWAYS| CurRenderPipeline
000006.507|  279228.0000kb|     56.0000kb added| ALWAYS| CreateParticleSystemManager
000006.893|  287188.0000kb|   7960.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000006.965|  290440.0000kb|   3252.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000007.796|  378916.0000kb|  88476.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
000012.057|  458828.0000kb|  79912.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibrary.xml!
000012.057|  458828.0000kb|      0.0000kb added|  ERROR| Failed to load Behavior Tree Node Definition file: DATA\Summoner\SummonerBlockLibraryClient.xml!
000012.057|  458828.0000kb|      0.0000kb added|  ERROR| Unable to load Behavior Tree metadata file: DATA\Summoner\SummonerBlockLibrary.xml. from group BehaviorTreeMetaData, using key 'BehaviorTreeMetaData' on map: Map1  Remaining Behavior Tree loading skipped!
000012.231|  461728.0000kb|   2900.0000kb added| ALWAYS| GameWorld.Update()
000012.232|  461728.0000kb|      0.0000kb added| ALWAYS| Begin Game Object Update
000012.531|  474576.0000kb|  12848.0000kb added| ALWAYS| End Game Object Update
000012.858|  480900.0000kb|   6324.0000kb added| ALWAYS| PreloadGlobalEffects()
000012.858|  480900.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalEffects
000013.265|  517344.0000kb|  36444.0000kb added| ALWAYS| PreloadGlobalEffects Finished
000013.266|  517344.0000kb|      0.0000kb added| ALWAYS| PreloadGlobalBuffAssets()
000013.462|  521360.0000kb|   4016.0000kb added| ALWAYS| Preload Announcements
000013.718|  535952.0000kb|  14592.0000kb added| ALWAYS| ObjectManager_RegisterNetworkWorld()
000013.720|  536068.0000kb|    116.0000kb added| ALWAYS| FogOfWar::Init()
000013.721|  536244.0000kb|    176.0000kb added| ALWAYS| Gamma::CreateIAPI()
000013.722|  536248.0000kb|      4.0000kb added| ALWAYS| SimulationClock->Init()
000013.986|  580592.0000kb|  44344.0000kb added|  ERROR| Missing file on r3dGFile open :Data/Menu_SC4/HudAnimationOverlay_IA.dds
000013.986|  580592.0000kb|      0.0000kb added|  ERROR| Missing file on r3dGFile open :Data/Menu_SC4/HudAnimationOverlay_IB.dds
000013.987|  581364.0968kb|    772.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.012|  590600.0000kb|   9236.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.070|  601280.0000kb|  10680.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.115|  608860.0032kb|   7580.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.124|  609944.0000kb|   1084.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.137|  611528.0000kb|   1584.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.141|  612484.0968kb|    956.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.154|  614704.0000kb|   2220.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.156|  614792.0000kb|     88.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.172|  616024.0000kb|   1232.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.177|  616560.0000kb|    536.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
000014.192|  618168.0000kb|   1608.0000kb added|  ERROR| Tried to enable input when dispatcher was not registered.
