--- Log started at Wed Dec 26 22:47:10 2012

000000.001|  200132.0000kb| 200132.0000kb added| ALWAYS| Global Log Level set to WARN
000000.001|  200228.0000kb|     96.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 18 2012/04:46:37) [PUBLIC] <Releases/1_152_Vi>
000000.025|  202952.0000kb|   2724.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.025|  202988.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.229/deploy/LolClient.exe" "216.133.234.121 5191 2avxB8M8EXfPFk/VkX1VWQ== <id_removed>"
000000.026|  202992.0000kb|      4.0000kb added| ALWAYS| Started System Init
000000.027|  203096.0000kb|    104.0000kb added| ALWAYS| Maestro Init
000000.030|  203260.0000kb|    164.0000kb added| ALWAYS| Maestro completed init
000000.060|  204312.0000kb|   1052.0000kb added| ALWAYS| StartSession called
000000.060|  204320.0000kb|      8.0000kb added| ALWAYS| Started Init event arguments
000000.061|  204348.0000kb|     28.0000kb added| ALWAYS| Waiting until connection...
000000.061|  204348.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.061|  204348.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.061|  204348.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.061|  204352.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2321
000000.061|  204352.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.061|  204356.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.063|  204924.0000kb|    568.0000kb added| ALWAYS| r3dRenderLayer::Init(0x00410e2c) enter
000000.090|  223048.0000kb|  18124.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.176|  226396.0000kb|   3348.0000kb added| ALWAYS| Physical memory: 8589934592
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2322
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.176|  226396.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.778|  230840.0000kb|   4444.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.217|  234204.0000kb|   3364.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.204/deploy/Data/Menu/IMEConfig.xml
000003.222|  234472.0000kb|    268.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.229\deploy\preferences\
000003.222|  234480.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.222|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.222|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.222|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.222|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
000003.222|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(5)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(6)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(7)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(8)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(9)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(10)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(11)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(12)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(13)
000003.223|  234480.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(14)
000003.223|  234500.0000kb|     20.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(15)
000003.223|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(16)
000003.223|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(17)
000003.223|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(18)
000003.223|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(19)
000003.223|  234500.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(20)
000003.223|  234504.0000kb|      4.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(21)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(22)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(23)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(24)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(25)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(26)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(27)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(28)
000003.223|  234504.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(29)
000003.227|  234704.0000kb|    200.0000kb added| ALWAYS| r3dRenderLayer::SetMode(XRes = 1366, YRes = 768, BPP = 32,  Flags=256, RenderPath = 101) enter
000003.227|  234704.0000kb|      0.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Enumerating Display Modes
000003.227|  234736.0000kb|     32.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Creating d3d device
000003.745|  242036.0000kb|   7300.0000kb added| ALWAYS| r3dRenderLayer::SetMode: Initialize shaders for current rendering path
000003.948|  244172.0000kb|   2136.0000kb added| ALWAYS| r3dRenderLayer::SetMode exit successfully
000004.090|  249336.0000kb|   5164.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000034.415|  253980.0000kb|   4644.0000kb added|  ERROR| Timeout while waiting for client ID
000064.143|  254588.0000kb|    608.0000kb added| ALWAYS| Disconnected
000064.343|  254600.0000kb|     12.0000kb added| ALWAYS| Connected
000064.343|  254636.0000kb|     36.0000kb added| ALWAYS| Receiving PKT_World_SendGameNumber, GameID: 00000000264a4c7e, PlatformID: NA1
000064.343|  254640.0000kb|      4.0000kb added| ALWAYS| Received client ID
000064.344|  254504.0000kb|   -136.0000kb added| ALWAYS| Set focus to app
000064.344|  254504.0000kb|      0.0000kb added| ALWAYS| Input started
000064.379|  254788.0000kb|    284.0000kb added| ALWAYS| Query Status Req started
000065.523|  254792.0000kb|      4.0000kb added| ALWAYS| Query Status Req ended
000065.524|  254792.0000kb|      0.0000kb added| ALWAYS| Waiting for server response...
000065.624|  254792.0000kb|      0.0000kb added| ALWAYS| Receiving PKT_SynchVersionS2C_s, Server :Version 1.0.0.152 [PUBLIC]
000065.624|  254796.0000kb|      4.0000kb added| ALWAYS| Started Map Map1
000065.624|  254832.0000kb|     36.0000kb added| ALWAYS| netUID: 2 defaultname
000065.624|  254832.0000kb|      0.0000kb added| ALWAYS| Adding level zip file: Map1.zip
000065.629|  254848.0000kb|     16.0000kb added| ALWAYS| PlayGame Started
000066.904|  289812.0000kb|  34964.0000kb added| ALWAYS| r3dRenderLayer::RecreateOwnedResources
000066.970|  311188.0000kb|  21376.0000kb added| ALWAYS| PlayGame Entered
000066.970|  311192.0000kb|      4.0000kb added| ALWAYS| CurRenderPipeline
000066.974|  311244.0000kb|     52.0000kb added| ALWAYS| CreateParticleSystemManager
000067.178|  318308.0000kb|   7064.0000kb added| ALWAYS| FMOD: Attempting to load localized audio for en_US
000067.249|  321568.0000kb|   3260.0000kb added| ALWAYS| LoLAudio::Load(): Successfully loaded default desired language locale: LoL_Audio_en_US.fev
000068.040|  418380.0000kb|  96812.0000kb added|   WARN| r3dTexture EX:  - not found. Dummy texture created.
