--- Log started at Sun Dec 30 03:01:25 2012

000000.008|  201108.0000kb| 201108.0000kb added| ALWAYS| Global Log Level set to WARN
000000.008|  201184.0000kb|     76.0000kb added| ALWAYS| Build Version: Version 1.0.0.152 (Dec 18 2012/04:46:37) [PUBLIC] <Releases/1_152_Vi>
000000.032|  202844.0000kb|   1660.0000kb added|  ERROR| Failed to open "ClientZips.txt"
000000.033|  202880.0000kb|     36.0000kb added| ALWAYS| "8394" "LoLLauncher.exe" "C:/Riot Games/League of Legends/RADS/projects/lol_air_client/releases/0.0.0.229/deploy/LolClient.exe" "spectator 216.133.234.17:8088 u4sFpobMJEaAMmE5dr9bi3HD3PeSa8vt 646795295 <id_removed>"
000000.039|  203888.0000kb|   1008.0000kb added| ALWAYS| Started ReplayDownloadManager thread.
000000.039|  203900.0000kb|     12.0000kb added| ALWAYS| ==== Fetch MetaData Phase ====
000000.039|  203900.0000kb|      0.0000kb added| ALWAYS| ---- Waiting to fetch 5000
000000.040|  203900.0000kb|      0.0000kb added| ALWAYS| Started System Init
000000.040|  203900.0000kb|      0.0000kb added| ALWAYS| Maestro Init
000000.042|  204032.0000kb|    132.0000kb added| ALWAYS| Maestro completed init
000000.042|  204032.0000kb|      0.0000kb added| ALWAYS| Replay mode
000000.068|  204236.0000kb|    204.0000kb added| ALWAYS| StartSession called
000000.068|  204252.0000kb|     16.0000kb added| ALWAYS| Started Init event arguments
000000.069|  204292.0000kb|     40.0000kb added| ALWAYS| Waiting until connection...
000000.069|  204292.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.069|  204292.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000000.069|  204292.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000000.069|  204296.0000kb|      4.0000kb added| ALWAYS| Measured processor speed: 2322
000000.069|  204296.0000kb|      0.0000kb added| ALWAYS| Physical memory: 0
000000.069|  204300.0000kb|      4.0000kb added| ALWAYS| InitRenderer() enter
000000.071|  204884.0000kb|    584.0000kb added| ALWAYS| r3dRenderLayer::Init(0x0004068c) enter
000000.083|  209576.0000kb|   4692.0000kb added| ALWAYS| r3dRenderLayer::Init() exit successfully
000001.298|  213628.0000kb|   4052.0000kb added| ALWAYS| Physical memory: 8589934592
000001.298|  213628.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.298|  213628.0000kb|      0.0000kb added| ALWAYS| OS Version String: Microsoft Windows 7 Home Premium Edition Service Pack 1 (build 7601), 64-bit
000001.298|  213628.0000kb|      0.0000kb added| ALWAYS| CPU: GenuineIntel, Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz, Intel64 Family 6 Model 58 Stepping 9, 2294 (0 core)
000001.299|  213628.0000kb|      0.0000kb added| ALWAYS| Measured processor speed: 2321
000001.299|  213628.0000kb|      0.0000kb added| ALWAYS| Display info: NVIDIA GeForce GTX 660M 2147483648 8.17.12.9593
000001.299|  213628.0000kb|      0.0000kb added| ALWAYS| Physical memory: 8589934592
000002.763|  217984.0000kb|   4356.0000kb added| ALWAYS| Attempting to load fontconfig file for en_US (fontconfig_en_US.txt).
000003.203|  221480.0000kb|   3496.0000kb added|  ERROR| Missing file on r3dGFile open :C:/Riot Games/League of Legends/RADS/solutions/lol_game_client_sln/releases/0.0.0.204/deploy/Data/Menu/IMEConfig.xml
000003.208|  221780.0000kb|    300.0000kb added| ALWAYS| SharedConfigPath: C:\Riot Games\League of Legends\RADS\projects\lol_air_client\releases\0.0.0.229\deploy\preferences\
000003.208|  221788.0000kb|      8.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(0)
000003.208|  221788.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(1)
000003.208|  221788.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(2)
000003.208|  221788.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(3)
000003.208|  221788.0000kb|      0.0000kb added| ALWAYS| OptionsManager::OnOptionChanged(4)
